BLOCKID,COUNTYFP,DISTRICT
330019651001000,001,CENT01
330019651001001,001,CENT01
330019651001002,001,CENT01
330019651001003,001,CENT01
330019651001004,001,CENT01
330019651001005,001,CENT01
330019651001006,001,CENT01
330019651001007,001,CENT01
330019651001008,001,CENT01
330019651001009,001,CENT01
330019651001010,001,CENT01
330019651001011,001,CENT01
330019651001012,001,CENT01
330019651001013,001,CENT01
330019651001014,001,CENT01
330019651001015,001,CENT01
330019651001016,001,CENT01
330019651001017,001,CENT01
330019651001018,001,CENT01
330019651001019,001,CENT01
330019651001020,001,CENT01
330019651001021,001,CENT01
330019651001022,001,CENT01
330019651001023,001,CENT01
330019651001024,001,CENT01
330019651001025,001,CENT01
330019651001026,001,CENT01
330019651001027,001,CENT01
330019651001028,001,CENT01
330019651001029,001,CENT01
330019651001030,001,CENT01
330019651001031,001,CENT01
330019651001032,001,CENT01
330019651001033,001,CENT01
330019651001034,001,CENT01
330019651001035,001,CENT01
330019651001036,001,CENT01
330019651001037,001,CENT01
330019651001038,001,CENT01
330019651001039,001,CENT01
330019651001040,001,CENT01
330019651001041,001,CENT01
330019651001042,001,CENT01
330019651001043,001,CENT01
330019651001044,001,CENT01
330019651001045,001,CENT01
330019651001046,001,CENT01
330019651001047,001,CENT01
330019651001048,001,CENT01
330019651001049,001,CENT01
330019651001050,001,CENT01
330019651001051,001,CENT01
330019651001052,001,CENT01
330019651001053,001,CENT01
330019651001054,001,CENT01
330019651001055,001,CENT01
330019651001056,001,CENT01
330019651001057,001,CENT01
330019651001058,001,CENT01
330019651001059,001,CENT01
330019651001060,001,CENT01
330019651001061,001,CENT01
330019651001062,001,CENT01
330019651001063,001,CENT01
330019651001064,001,CENT01
330019651001065,001,CENT01
330019651001066,001,CENT01
330019651001067,001,CENT01
330019651001068,001,CENT01
330019651001069,001,CENT01
330019651001070,001,CENT01
330019651001071,001,CENT01
330019651001072,001,CENT01
330019651001073,001,CENT01
330019651001074,001,CENT01
330019651001075,001,CENT01
330019651001076,001,CENT01
330019651001077,001,CENT01
330019651001078,001,CENT01
330019651001079,001,CENT01
330019651001080,001,CENT01
330019651001081,001,CENT01
330019651001082,001,CENT01
330019651001083,001,CENT01
330019651001084,001,CENT01
330019651001085,001,CENT01
330019651001086,001,CENT01
330019651001087,001,CENT01
330019651001088,001,CENT01
330019651001089,001,CENT01
330019651001090,001,CENT01
330019651001091,001,CENT01
330019651001092,001,CENT01
330019651001093,001,CENT01
330019651001094,001,CENT01
330019651002000,001,NEWH01
330019651002001,001,NEWH01
330019651002002,001,NEWH01
330019651002003,001,NEWH01
330019651002004,001,NEWH01
330019651002005,001,NEWH01
330019651002006,001,NEWH01
330019651002007,001,NEWH01
330019651002008,001,NEWH01
330019651002009,001,NEWH01
330019651002010,001,NEWH01
330019651002011,001,NEWH01
330019651002012,001,NEWH01
330019651002013,001,NEWH01
330019651002014,001,NEWH01
330019651002015,001,NEWH01
330019651002016,001,NEWH01
330019651002017,001,NEWH01
330019651002018,001,NEWH01
330019651002019,001,NEWH01
330019651002020,001,NEWH01
330019651002021,001,NEWH01
330019651002022,001,NEWH01
330019651002023,001,NEWH01
330019651002024,001,NEWH01
330019651002025,001,NEWH01
330019651002026,001,NEWH01
330019651002027,001,NEWH01
330019651002028,001,NEWH01
330019651002029,001,NEWH01
330019651002030,001,NEWH01
330019651002031,001,NEWH01
330019651002032,001,NEWH01
330019651002033,001,NEWH01
330019651002034,001,NEWH01
330019651002035,001,NEWH01
330019651002036,001,NEWH01
330019651002037,001,NEWH01
330019651002038,001,NEWH01
330019651002039,001,NEWH01
330019651002040,001,NEWH01
330019651002041,001,NEWH01
330019651002042,001,NEWH01
330019651002043,001,NEWH01
330019651002044,001,NEWH01
330019651002045,001,NEWH01
330019651002046,001,NEWH01
330019651002047,001,NEWH01
330019651002048,001,NEWH01
330019651002049,001,NEWH01
330019651002050,001,NEWH01
330019651002051,001,NEWH01
330019651002052,001,NEWH01
330019651002053,001,NEWH01
330019651002054,001,NEWH01
330019651002055,001,NEWH01
330019651002056,001,NEWH01
330019651002057,001,NEWH01
330019651002058,001,NEWH01
330019651002059,001,NEWH01
330019651002060,001,NEWH01
330019651002061,001,NEWH01
330019651002062,001,NEWH01
330019651002063,001,NEWH01
330019651002064,001,NEWH01
330019651002065,001,NEWH01
330019651002066,001,NEWH01
330019651002067,001,NEWH01
330019651002068,001,NEWH01
330019651002069,001,NEWH01
330019651002070,001,NEWH01
330019651002071,001,NEWH01
330019651002072,001,NEWH01
330019651002073,001,NEWH01
330019651002074,001,NEWH01
330019651002075,001,NEWH01
330019651002076,001,NEWH01
330019651002077,001,NEWH01
330019651002078,001,NEWH01
330019651002079,001,NEWH01
330019651002080,001,NEWH01
330019651002081,001,NEWH01
330019651002082,001,NEWH01
330019651002083,001,NEWH01
330019651002084,001,NEWH01
330019651002085,001,NEWH01
330019651002086,001,NEWH01
330019651002087,001,NEWH01
330019651002088,001,NEWH01
330019651002089,001,NEWH01
330019651002090,001,NEWH01
330019651002091,001,NEWH01
330019651002092,001,NEWH01
330019651002093,001,NEWH01
330019651002094,001,NEWH01
330019651002095,001,NEWH01
330019651002096,001,NEWH01
330019651002097,001,NEWH01
330019651002098,001,NEWH01
330019651002099,001,NEWH01
330019651002100,001,NEWH01
330019651002101,001,NEWH01
330019651002102,001,NEWH01
330019651002103,001,NEWH01
330019651002104,001,NEWH01
330019651002105,001,NEWH01
330019651002106,001,NEWH01
330019651002107,001,NEWH01
330019651002108,001,NEWH01
330019651002109,001,NEWH01
330019651002110,001,NEWH01
330019651002111,001,NEWH01
330019651002112,001,NEWH01
330019651002113,001,NEWH01
330019651002114,001,NEWH01
330019651002115,001,NEWH01
330019651002116,001,NEWH01
330019651002117,001,NEWH01
330019651002118,001,NEWH01
330019651002119,001,NEWH01
330019651002120,001,NEWH01
330019651002121,001,NEWH01
330019651002122,001,NEWH01
330019651002123,001,NEWH01
330019651002124,001,NEWH01
330019651002125,001,NEWH01
330019651002126,001,NEWH01
330019651003000,001,NEWH01
330019651003001,001,NEWH01
330019651003002,001,NEWH01
330019651003003,001,NEWH01
330019651003004,001,NEWH01
330019651003005,001,NEWH01
330019651003006,001,NEWH01
330019651003007,001,NEWH01
330019651003008,001,NEWH01
330019651003009,001,NEWH01
330019651003010,001,NEWH01
330019651003011,001,NEWH01
330019651003012,001,NEWH01
330019651003013,001,NEWH01
330019651003014,001,NEWH01
330019651003015,001,NEWH01
330019651003016,001,NEWH01
330019651003017,001,NEWH01
330019651003018,001,NEWH01
330019651003019,001,NEWH01
330019651003020,001,NEWH01
330019651003021,001,NEWH01
330019651003022,001,NEWH01
330019651003023,001,NEWH01
330019651003024,001,NEWH01
330019651003025,001,NEWH01
330019651003026,001,NEWH01
330019651003027,001,NEWH01
330019651003028,001,NEWH01
330019651003029,001,NEWH01
330019651003030,001,NEWH01
330019651003031,001,NEWH01
330019651003032,001,NEWH01
330019651003033,001,NEWH01
330019651003034,001,NEWH01
330019651003035,001,NEWH01
330019651003036,001,NEWH01
330019651003037,001,NEWH01
330019651003038,001,NEWH01
330019651003039,001,NEWH01
330019651003040,001,NEWH01
330019651003041,001,NEWH01
330019651003042,001,NEWH01
330019651003043,001,NEWH01
330019651003044,001,NEWH01
330019651003045,001,NEWH01
330019651003046,001,NEWH01
330019651003047,001,NEWH01
330019651003048,001,NEWH01
330019651003049,001,NEWH01
330019651003050,001,NEWH01
330019651003051,001,NEWH01
330019651003052,001,NEWH01
330019651003053,001,NEWH01
330019651003054,001,NEWH01
330019651003055,001,NEWH01
330019651003056,001,NEWH01
330019651003057,001,NEWH01
330019651003058,001,NEWH01
330019651003059,001,NEWH01
330019651003060,001,NEWH01
330019651003061,001,NEWH01
330019651003062,001,NEWH01
330019651003063,001,NEWH01
330019651003064,001,NEWH01
330019651003065,001,NEWH01
330019651003066,001,NEWH01
330019651003067,001,NEWH01
330019651003068,001,NEWH01
330019651003069,001,NEWH01
330019651003070,001,NEWH01
330019651003071,001,NEWH01
330019651003072,001,NEWH01
330019651003073,001,NEWH01
330019651003074,001,NEWH01
330019651003075,001,NEWH01
330019651003076,001,NEWH01
330019651003077,001,NEWH01
