,GEOID10,ALAND10,AWATER10,POP100,POPMALE,POPFEMALE,POP1RACE,POPWHITE,POPBLACK,POPAMERIND,POPASIAN,POPPACIFIC,POPOTHER,POPMULTRAC,POPHISP,PERIM
0,330019653003062,24460.0,0.0,9,4,5,9,9,0,0,0,0,0,0,0,1917.38323678
0,330019652002056,391.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,257.26138458
0,330019652002018,8553.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1109.50724513
0,330019653001084,56784.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5701.45657
0,330019653001064,0.0,155628.0,0,0,0,0,0,0,0,0,0,0,0,0,7712.93694593
0,330019653001007,0.0,9845.0,0,0,0,0,0,0,0,0,0,0,0,0,1287.4929506
0,330019653003011,3516.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,803.947306762
0,330019653002017,3288.0,0.0,12,3,9,12,10,0,0,2,0,0,0,0,665.551405628
0,330019651003065,74630.0,2654.0,37,20,17,36,36,0,0,0,0,0,1,0,6315.35634693
0,330019651003061,301608.0,1240.0,50,29,21,50,50,0,0,0,0,0,0,2,11366.2904
0,330019651003088,16209858.0,72484.0,121,61,60,119,119,0,0,0,0,0,2,0,90538.6593595
0,330019651003058,25280.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3001.6715269
0,330019651002005,0.0,235027.0,0,0,0,0,0,0,0,0,0,0,0,0,13715.3438997
0,330019651002042,453974.0,0.0,17,7,10,16,16,0,0,0,0,0,1,0,9101.99132768
0,330019651003002,0.0,10340.0,0,0,0,0,0,0,0,0,0,0,0,0,4180.45291618
0,330019651003008,9369.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,952.726422353
0,330019651003013,277385.0,0.0,48,25,23,48,48,0,0,0,0,0,0,0,8575.04788467
0,330019651002069,132579.0,0.0,1,0,1,1,1,0,0,0,0,0,0,0,9207.39252467
0,330019651002009,193660.0,0.0,21,14,7,21,21,0,0,0,0,0,0,0,10423.5849409
0,330019651002047,0.0,325043.0,0,0,0,0,0,0,0,0,0,0,0,0,10402.1208461
0,330019651002025,0.0,1542.0,0,0,0,0,0,0,0,0,0,0,0,0,777.74839003
0,330019651003056,57100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8668.17279011
0,330019651003101,0.0,419165.0,0,0,0,0,0,0,0,0,0,0,0,0,33623.9868074
0,330019651003020,0.0,112215.0,0,0,0,0,0,0,0,0,0,0,0,0,6777.4226151
0,330019654002025,17157.0,0.0,2,0,2,2,2,0,0,0,0,0,0,0,2321.3097566
0,330019654001056,0.0,67328.0,0,0,0,0,0,0,0,0,0,0,0,0,2714.23249591
0,330019654002068,2855.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,566.484853094
0,330019654002066,475229.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6679.19903331
0,330019654002050,0.0,63394.0,0,0,0,0,0,0,0,0,0,0,0,0,4818.28002883
0,330019654001033,0.0,176993.0,0,0,0,0,0,0,0,0,0,0,0,0,4755.92900715
0,330019658001000,885566.0,0.0,53,27,26,53,52,0,0,1,0,0,0,0,11380.297728
0,330019658003064,0.0,7575.0,0,0,0,0,0,0,0,0,0,0,0,0,753.349880497
0,330019658003021,2970.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,631.112683108
0,330019658002032,1750.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,488.594512926
0,330019658003009,0.0,91226.0,0,0,0,0,0,0,0,0,0,0,0,0,4195.67082432
