,lo,hi,length
0,33001LACO01,33001LACO06,3837238.44678
1,33001LACO01,33001LACO03,1850179.24162
2,33001LACO01,33001LACO02,700409.654572
3,33001LACO01,33001MERE01,2866711.94218
4,33001LACO01,33001GILF01,486440.935887
5,33001LACO06,33001LACO02,683157.784726
6,33001LACO06,33001GILF01,1940787.47226
7,33001LACO03,33001LACO02,389990.542046
8,33001LACO03,33001LACO04,1119538.03837
9,33001LACO03,33001LACO05,62263.8370899
10,33001LACO03,33001MERE01,7284.26040033
11,33001LACO03,33001BELM01,407046.500945
12,33001LACO03,33001SANB01,450924.560948
13,33001LACO02,33001LACO05,383918.333007
14,33001LACO02,33001GILF01,517186.766628
15,33001LACO04,33001LACO05,474790.36314
16,33001LACO04,33001GILF01,416820.46847
17,33001LACO04,33001BELM01,805534.254091
18,33001LACO05,33001GILF01,136176.213879
19,33001CENT01,33001NEWH01,1474799.03085
20,33001CENT01,33001MERE01,3779381.70259
21,33001CENT01,33003SAND01,0.0
22,33001CENT01,33003MOUL01,2201356.95367
23,33001CENT01,33009HOLD01,2334953.18613
24,33001CENT01,33009ASHL01,0.0
25,33001NEWH01,33001MERE01,2841925.43239
26,33001NEWH01,33001SANB01,3077992.4115
27,33001NEWH01,33009HOLD01,0.0
28,33001NEWH01,33009ASHL01,1383104.25172
29,33001NEWH01,33009BRID01,1060000.97047
30,33001NEWH01,33009BRIS01,3249861.38669
31,33001NEWH01,33013HILL01,729580.996557
32,33001MERE01,33001GILF01,2610490.47001
33,33001MERE01,33001SANB01,5626757.4437
34,33001MERE01,33003MOUL01,2202054.32299
35,33001GILF01,33001ALTO01,2348531.25843
36,33001GILF01,33001GILM01,1680552.72512
37,33001GILF01,33001BELM01,1213014.43065
38,33001GILF01,33003MOUL01,5658.01688456
39,33001ALTO01,33001BARN01,2631195.23862
40,33001ALTO01,33001GILM01,1919048.78932
41,33001ALTO01,33003MOUL01,69640.4239865
42,33001ALTO01,33003TUFT01,1294544.823
43,33001ALTO01,33003WOLF01,2649631.61476
44,33001ALTO01,33017NDUR01,2341410.71142
45,33001ALTO01,33017FARM01,0.0
46,33001ALTO01,33017STFD01,0.0
47,33001BARN01,33001GILM01,3262198.29165
48,33001BARN01,33013LOUD01,0.0
49,33001BARN01,33013PITF01,2438538.35909
50,33001BARN01,33017NDUR01,0.0
51,33001BARN01,33017FARM01,0.0
52,33001BARN01,33017STFD01,1743168.15257
