GEOID,IDNUM
37149WO06,0
37149SA04,1
37149TR123,2
37149CL07,3
37149GC09,4
37149CG05,5
37149CL08,6
3715916,7
3715920,8
3715944,9
3715909,10
3715945,11
3715903,12
3715913,13
3715914,14
3715946,15
3715907,16
3715941,17
37097CS,18
37097BA,19
37097CC3,20
37015C2,21
37015M1,22
37015C1,23
37015MH,24
37015W2,25
37015W1,26
37015M2,27
37015SN,28
3718903,29
3718904,30
3718913,31
3718917,32
3718909,33
3718912,34
3718905,35
3718915,36
3718920,37
3718919,38
3718914,39
3718907,40
3718918,41
3718910,42
3718911,43
3718901,44
3718908,45
3718902,46
3718916,47
3718906,48
3701112,49
3701101,50
3701103,51
3701102,52
37033PELH,53
37033LOCU,54
37033PROVI,55
37033STON,56
37033YAN2,57
3701105,58
3701109,59
3701118,60
3701119,61
3701110,62
3701104,63
3701117,64
37033YAN4,65
37033MILT,66
37033LEAS,67
37033HIGH,68
37033PROS,69
37033ANDE,70
37015WH,71
37015WD,72
37015RX,73
37015IW,74
3701106,75
3701108,76
3701114,77
3701113,78
3701116,79
3701115,80
3701107,81
3701111,82
3709362,83
3709301,84
3709302,85
3709363,86
3709306,87
3709305,88
3709313,89
3709312,90
3709303,91
3709361,92
3709365,93
3709364,94
3709304,95
3715932,96
3715925,97
3715927,98
3715911,99
3715910,100
3715933,101
3715917,102
3715921,103
3715902,104
3715924,105
3715930,106
3715904,107
3715929,108
3715934,109
3715908,110
3715931,111
3715915,112
3715923,113
3715919,114
3715905,115
3715936,116
3715918,117
3715926,118
3715922,119
3715901,120
3715938,121
3715942,122
3715906,123
3715939,124
3715912,125
3715928,126
3715935,127
3715940,128
37101PR26,129
37101PR24,130
37101PR20,131
37101PR09,132
37101PR01,133
37101PR22,134
37101PR21,135
37101PR25,136
37101PR27,137
37101PR28,138
37101PR10,139
37101PR19,140
37101PR12,141
37101PR13,142
37101PR30,143
37101PR06,144
37101PR08,145
37101PR05,146
37101PR14,147
37101PR16,148
37101PR15,149
37101PR02,150
37101PR07,151
37101PR04,152
37101PR18,153
37101PR29A,154
37101PR32,155
37101PR29B,156
37101PR34,157
37101PR11B,158
37101PR31B,159
37101PR31A,160
37101PR23,161
37101PR33,162
37101PR03,163
37101PR17,164
37101PR11A,165
37017P201,166
37017P10,167
37017P202,168
37017P40,169
37017P25,170
37017P30,171
37017P75,172
37017P60,173
37017P45,174
37017P80,175
37017P70,176
37017P15,177
37017P35,178
37017P501,179
37017P502,180
37017P65,181
37017P55,182
37087BC,183
37087CL-N,184
37087IH,185
37087ID,186
37087BE-2,187
37087JC,188
37087WS-2,189
37087WS-1,190
37087WO,191
37087WW,192
37087LJ,193
37087AC,194
37087PC,195
37087BE-1,196
37087P,197
37087FC-1,198
37087EF,199
37087CL-S,200
37087WE,201
37087BE56,202
37087CE,203
37087BE-3,204
37087BE-7,205
37087HA,206
37087SA,207
37083BUTWD,208
37083CONC,209
37083ENF-1,210
37083ENF-2,211
37083ENF-3,212
37083FAUCT,213
37083HAL,214
37083HOL,215
37083LIT-1,216
37083LIT-2,217
37083RINGW,218
37083ROSEN,219
37083RR-1,220
37083RR-10,221
37083RR-11,222
37083RR-2,223
37083RR-3,224
37083RR-4,225
37079BULL,226
37079SHIN,227
37079WALS,228
37079CAST,229
37079BEAR,230
37079MAUR,231
37079SH1,232
37079SUGG,233
37079ARBA,234
37079HOOK,235
37083RR-5,236
37083RR-6,237
37083RR-7,238
37083RR-8,239
37083RR-9,240
37083SN-1,241
37083SN-2,242
37083WEL-1,243
37083WEL-2,244
37083WEL-3,245
37083HOB,246
37083PAL,247
37087CR,248
37087BE-4,249
37087WC,250
37087FC-2,251
37043BRAS,252
37043WARN,253
37043HAY2,254
37043HIAW,255
37043SHCR,256
37043TUSQ,257
37043SWEE,258
37043HAY1,259
37043HAYC,260
37029SM,261
37029SH,262
37029CH,263
37053CI,264
37053GW,265
37053PP,266
37053WH,267
3704910,268
3704912,269
3704921,270
37053KI,271
37053CH,272
37053PB,273
37053CJ,274
37053CB,275
37053IR,276
37053MY,277
3704909,278
3704915,279
3704913,280
3704914,281
37049N4,282
3704907,283
37049N2,284
3704905,285
3704920,286
3704903,287
3704906,288
3704923,289
3704904,290
3704908,291
37049N1,292
37049N3,293
3704917,294
37049N5,295
3704919,296
3704922,297
3704911,298
37049N6,299
3704916,300
3704918,301
37075TAPO,302
37075STEC,303
37075WEST,304
37075EAST,305
3706350,306
3706313,307
3706322,308
3706353-2,309
3706339,310
3706343,311
3706324,312
3706346,313
3706306,314
3717120,315
3717122,316
3717119,317
3717107,318
3717126,319
3717133,320
3717101,321
3717116,322
3717123,323
3717124,324
3717111,325
3717106,326
3717103,327
3717127,328
3717112,329
3717128,330
3706319,331
3706344,332
3706323,333
3706317,334
3706337,335
3706338,336
3717105,337
3717118,338
3717109,339
3706345,340
3706325,341
3706307,342
3706308,343
3706330-2,344
3706332,345
3706329,346
3706305,347
3706326,348
3706302,349
3706348,350
3706352,351
3706318,352
3706335,353
3706347,354
3706333,355
37085PR20,356
37085PR24,357
37085PR23,358
37085PR25,359
37085PR29,360
37085PR01,361
37085PR08,362
37085PR26,363
37085PR17,364
37085PR16,365
37085PR27,366
37085PR07,367
37085PR28,368
3706353-1,369
3706330-1,370
3706331,371
3706351,372
3706327,373
3706340,374
3706354,375
3706316,376
3706312,377
3706342,378
3706341,379
3706355,380
3706314,381
3706315,382
3706301,383
3706320,384
3706321,385
3706310,386
3706304,387
3706303,388
3717110,389
3717117,390
3717104,391
3717108,392
3717125,393
3706309,394
3706334,395
3706328,396
3706336,397
3717113,398
3717102,399
3717114,400
3717121,401
3717115,402
371270002,403
371270032,404
371270034,405
371270011,406
371270006,407
