,low,high,length
0,37149WO06WO06,37149SA04SA04,13360.372580160925
1,37149WO06WO06,37149TR123TR123,0.0
2,37149WO06WO06,37149CL07CL07,60442.691648282285
3,37149WO06WO06,37149GC09GC09,14629.253765891872
4,37149WO06WO06,37149CG05CG05,80702.65014517386
5,37149WO06WO06,371613434,151.24583736102662
6,37149WO06WO06,371611818,20046.15532307452
7,37149SA04SA04,37149TR123TR123,26718.589568146956
8,37149SA04SA04,37149CL07CL07,0.0
9,37149SA04SA04,37149CG05CG05,12570.615173145627
10,37149SA04SA04,37089RRRR,11502.964978896449
11,37149SA04SA04,37089SBSB,17915.87487527268
12,37149TR123TR123,37149CL07CL07,7030.737993813519
13,37149TR123TR123,37149CL08CL08,10007.885291924058
14,37149CL07CL07,37149GC09GC09,4477.278983767478
15,37149CL07CL07,37149CL08CL08,55033.59613832836
16,37149GC09GC09,37149CL08CL08,24682.745214252594
17,37149GC09GC09,371613434,30208.07590580974
18,37149GC09GC09,3716109A09A,7510.486986670012
19,37149CG05CG05,37089SBSB,493.55318610966003
20,37149CG05CG05,37089EDED,18475.87064933063
21,37149CG05CG05,3716106A06A,54665.20858922613
22,37149CG05CG05,371611818,10737.897759648471
23,371591616,371590909,3915.701874451804
24,371591616,371591717,2561.439489287287
25,371591616,371590202,12719.348305596191
26,371591616,3702504-0504-05,10016.029147356538
27,371591616,3702504-0404-04,0.0
28,371592020,371593333,2727.522518673125
29,371592020,371591717,3009.7775372834603
30,371592020,371590202,12655.77499110177
31,371592020,371591919,8335.195966539311
32,371592020,371590606,7313.765560751732
33,371594444,371590909,11572.799707967495
34,371594444,37097CC3CC3,4195.0267150007985
35,371594444,371590404,19678.54664886291
36,371594444,3702503-0003-00,17779.06241742206
37,371594444,3702504-0904-09,5622.048531622312
38,371590909,371590202,1279.0691351074988
39,371590909,371590404,17387.407797950404
40,371590909,371591919,1810.4653267770818
41,371590909,3702504-0504-05,4274.493604814538
42,371590909,3702504-0904-09,5602.385992638746
43,371594545,371591111,14983.94559656873
44,371594545,371593939,16114.430637978436
45,371594545,371592828,10826.462525948351
46,371594545,371594040,7739.4368706875475
47,371594545,370570606,11044.66387231838
48,371590303,371591313,14731.397148852704
49,371590303,371591010,6606.395840605534
50,371590303,371593333,6897.919698515757
51,371590303,371593030,17748.641802592956
52,371590303,371590505,6011.946521527129
53,371591313,371594646,0.0
54,371591313,371591010,14649.755639788418
55,371591313,371593333,9451.713078514207
56,371591313,371590101,4675.799579644329
57,371591313,3702505-0005-00,17341.251212031762
58,371591313,3702506-0006-00,12888.874817429978
59,371591414,371594646,11951.444857323797
60,371591414,371591010,73.55830742392837
61,371591414,371591515,17490.719523527987
62,371591414,371593636,4032.3024018221618
63,371591414,371592626,11369.471656848054
64,371591414,371593838,1108.6466982160425
65,371594646,371592525,9495.646403138166
66,371594646,371591010,23602.990518201073
67,371594646,371592626,1373.3981624751164
68,371594646,371590101,5022.644515492255
69,371590707,371593232,9826.533310495199
70,371590707,371592727,50401.884807303715
71,371590707,371592424,23307.396693515533
72,371590707,371592929,20263.83726807903
73,371590707,37097CH-BCH-B,2887.0051417812033
74,371590707,37097CH-ACH-A,2536.449770127998
75,371594141,371591111,14182.203839073733
76,371594141,371592121,2101.350559303124
77,371594141,371594242,7761.25417320395
78,371594141,371593939,5177.593771294048
79,371594141,371591212,11027.955165642734
80,37097CSCS,371592727,6590.446822598704
81,37097CSCS,370590202,208.77423532326
82,37097CSCS,37097BEBE,9874.851540575184
83,37097CSCS,37097OLOL,7741.734229291021
84,37097CSCS,37097TBTB,47690.945536898405
85,37097CSCS,37097ST2ST2,3882.4231467463433
86,37097CSCS,37097CH-ACH-A,37972.60373771569
87,37097BABA,37097CC3CC3,10995.653975003755
88,37097BABA,371592424,8330.056779159866
89,37097BABA,37097FTFT,18301.552091746686
90,37097BABA,37097CH-BCH-B,34486.05009169693
91,37097BABA,37097ST6ST6,9485.44330847701
92,37097BABA,37097CC2CC2,26377.575534474097
93,37097BABA,37097DV1-ADV1-A,4033.027895896645
94,37097CC3CC3,371592424,793.9270463670239
95,37097CC3CC3,371590404,6931.205860254426
96,37097CC3CC3,37097CC1CC1,22637.579510084794
97,37097CC3CC3,37097CC2CC2,14101.822710218634
98,37097CC3CC3,3702503-0003-00,11457.86904570278
99,37015C2C2,37015M1M1,30317.96322928522
100,37015C2C2,37015C1C1,42657.34584861924
101,37015C2C2,37015W2W2,23349.4793234619
102,37015C2C2,37015WHWH,7559.35188373732
103,37015C2C2,37091HVHV,7471.096187994123
104,37015C2C2,37091A2A2,31108.74151272293
105,37015M1M1,37015W2W2,25102.735758769446
106,37015M1M1,37015M2M2,34605.98751807212
107,37015M1M1,37015SNSN,37878.39209401372
108,37015M1M1,37091A2A2,29151.839625179608
109,37015M1M1,37091MLML,9082.52553637563
110,37015C1C1,37015WHWH,47596.19393582387
111,37015C1C1,3704133,16139.782207206767
112,37015C1C1,3704155,464.40045321258117
113,37015C1C1,37091HVHV,54790.228612257335
114,37015MHMH,37015W1W1,54768.074796517525
115,37015MHMH,37015WHWH,73538.22971357097
116,37015MHMH,3704111,718.1054216347218
117,37015MHMH,3704166,6073.3494817890505
118,37015MHMH,3704122,19968.81957545538
119,37015MHMH,37117JJ,19853.20205224519
120,37015MHMH,37187P2P2,7952.412233839798
121,37015MHMH,37187LMLM,39376.64969625227
122,37015MHMH,37187P1P1,11399.71366640631
123,37015W2W2,37015W1W1,61480.35742689251
124,37015W2W2,37015SNSN,15336.034308506796
125,37015W2W2,37015WHWH,2434.9939087090775
126,37015W1W1,37015SNSN,22335.580036130457
127,37015W1W1,37015WHWH,11413.062952315346
128,37015W1W1,37015IWIW,62454.59922699034
129,37015W1W1,37117WW,58625.82495877057
130,37015W1W1,37117JJ,42576.3528414043
131,37015W1W1,37117HMHM,19624.959579136113
132,37015W1W1,37117W2W2,6355.852194009808
133,37015W1W1,37117W1W1,11508.878360230465
134,37015M2M2,37015SNSN,17027.733049081056
135,37015M2M2,37015RXRX,29708.56612292581
136,37015M2M2,37091MLML,18523.504199918272
137,37015SNSN,37015WDWD,48800.27603258059
138,37015SNSN,37015RXRX,15694.871738376962
139,37015SNSN,37015IWIW,31098.48897936396
140,371890303,371890404,26609.271237002125
141,371890303,371891313,23226.98242103982
142,371890303,371891515,0.0
143,371890303,371891919,28393.010874470212
144,371890303,37027PR07PR07,42485.86164609018
145,371890303,37027PR23PR23,3156.637265092726
146,371890404,371891313,0.0
147,371890404,371890909,29205.598579680034
148,371890404,371891515,19800.449953647425
149,371890404,37193109109,8838.994296848961
150,371890404,37027PR27PR27,22433.02260400883
151,371890404,37027PR23PR23,17526.794481060533
152,371891313,371891212,8494.369237146351
153,371891313,371891515,6470.417727884833
154,371891313,371891919,3242.947064605526
155,371891313,371890707,19769.34731615997
