VR Total,VR: All Dems,VR: All Reps,VR: All Libs,VR:All Unaf.,VR:White Dems,VR: Black Dems,VR: NA Dems,VR: Asian Dems,VR: Other Dems,VR: Mult Race Ds,VR: UnDes Ds,VR: White Reps,VR: Black Reps,VR: NA Reps,VR: Asian Reps,VR: Other Reps,VR: Mult Race Rs,VR: UnDes Rs,VR: White Libs,VR: Black Libs,VR: NA Libs,VR: Asian Libs,VR: Other Libs,VR: Mult Race Ls,VR: UnDes Ls,VR: White Unafil.,VR: Black Unafil.,VR: NA Unafil.,VR: Asian Unafil.,VR: Other Unafil.,VR: Mult Race Unafil.,VR: UnDes Unafil.,% D,Racial %s among D's White % of D,Racial %s among D's Black % of D,Racial %s among D's NA   % of D,Racial %s among D's Other % of D,Racial %s among D's % R,Racial %s among R's White %  of R,Racial %s among R's Black % of R,Racial %s among R's NA  %  of R,Racial %s among R's Other % of R,Racial %s among R's % U,Racial %s among U's White % of U,Racial %s among U's Black % of U,Racial %s among U's NA   % of U,Racial %s among U's Other % of U,Racial %s among U's % L,Racial %s among U's VR: White,Racial %s among U's VR: Black,Racial %s among U's VR:  NA,Racial %s among U's VR: Asian,Racial %s among U's VR: Other,Racial %s among U's VR: Mult. Race,Racial %s among U's VR: Undes.,Racial %s among U's % White,Racial %s among U's % Black,Racial %s among U's % NA,Racial %s among U's % Other,County,excelVTDId,excelCountyName,GEOID10
2888,869,1341,8,670,657,190,1,0,6,7,8,1332,2,0,0,0,1,6,7,0,0,0,0,0,1,616,23,1,3,6,1,20,0.300900277008,0.756041426928,0.218642117376,0.00115074798619,0.02416570771,0.464335180055,0.993288590604,0.00149142431022,0.0,0.00521998508576,0.231994459834,0.919402985075,0.034328358209,0.00149253731343,0.044776119403,0.00277008310249,2612,215,2,3,12,9,35,0.904432132964,0.0744459833795,0.000692520775623,0.0204293628809,Alamance,01,Alamance,3700101
3064,854,1545,4,661,772,62,2,0,4,2,12,1523,1,1,2,11,1,6,2,0,0,0,0,1,1,636,4,4,1,4,1,11,0.278720626632,0.903981264637,0.0725995316159,0.00234192037471,0.0210772833724,0.504242819843,0.985760517799,0.000647249190939,0.000647249190939,0.0129449838188,0.215731070496,0.962178517398,0.00605143721634,0.00605143721634,0.0257186081694,0.00130548302872,2933,67,7,3,19,5,30,0.957245430809,0.0218668407311,0.00228459530026,0.0186031331593,Alamance,02,Alamance,3700102
3035,1161,1096,10,768,871,203,5,9,14,20,39,1069,6,2,2,4,4,9,8,0,0,0,0,0,2,661,43,2,2,15,13,32,0.382537067545,0.750215331611,0.174849267873,0.00430663221361,0.0706287683032,0.361120263591,0.975364963504,0.00547445255474,0.00182481751825,0.0173357664234,0.253047775947,0.860677083333,0.0559895833333,0.00260416666667,0.0807291666667,0.00329489291598,2609,252,9,13,33,37,82,0.859637561779,0.0830313014827,0.00296540362438,0.0543657331137,Alamance,035,Alamance,37001035
2265,800,1056,1,408,654,115,1,6,11,3,10,1031,3,0,2,12,1,7,1,0,0,0,0,0,0,351,16,0,8,18,5,10,0.353200883002,0.8175,0.14375,0.00125,0.0375,0.466225165563,0.976325757576,0.00284090909091,0.0,0.0208333333333,0.180132450331,0.860294117647,0.0392156862745,0.0,0.100490196078,0.000441501103753,2037,134,1,16,41,9,27,0.899337748344,0.0591611479029,0.000441501103753,0.041059602649,Alamance,03C,Alamance,3700103C
3443,1342,1304,5,792,1027,257,0,15,10,6,27,1259,6,2,2,15,4,16,5,0,0,0,0,0,0,695,29,1,8,10,4,45,0.389776357827,0.765275707899,0.191505216095,0.0,0.043219076006,0.378739471391,0.965490797546,0.00460122699387,0.00153374233129,0.0283742331288,0.230031948882,0.877525252525,0.0366161616162,0.00126262626263,0.084595959596,0.00145222189951,2986,292,3,25,35,14,88,0.867266918385,0.0848097589312,0.000871333139704,0.047051989544,Alamance,03N,Alamance,3700103N
4318,1580,1652,9,1077,1051,432,1,23,39,13,21,1590,7,4,12,28,3,8,7,1,0,0,1,0,0,890,78,3,28,32,10,36,0.365910143585,0.665189873418,0.273417721519,0.000632911392405,0.0607594936709,0.382584529875,0.962469733656,0.00423728813559,0.00242130750605,0.0308716707022,0.249421028254,0.826369545032,0.0724233983287,0.00278551532033,0.0984215413185,0.00208429828624,3538,518,8,63,100,26,65,0.819360815192,0.119962945808,0.00185270958777,0.0588235294118,Alamance,03S,Alamance,3700103S
2167,733,904,2,528,551,154,3,0,14,4,7,871,8,2,3,12,0,8,2,0,0,0,0,0,0,475,25,2,2,3,3,18,0.338255652976,0.7517053206,0.210095497954,0.00409276944065,0.0341064120055,0.417166589755,0.963495575221,0.00884955752212,0.00221238938053,0.0254424778761,0.243654822335,0.899621212121,0.0473484848485,0.00378787878788,0.0492424242424,0.000922934933087,1899,187,7,5,29,7,33,0.876326718966,0.0862944162437,0.00323027226581,0.0341485925242,Alamance,03W,Alamance,3700103W
3537,1253,1488,4,792,900,331,1,1,7,5,8,1463,10,1,1,5,3,5,3,0,0,0,0,1,0,736,29,0,0,6,2,19,0.354255018377,0.718276137271,0.264166001596,0.000798084596967,0.0167597765363,0.420695504665,0.983198924731,0.00672043010753,0.000672043010753,0.00940860215054,0.223918575064,0.929292929293,0.0366161616162,0.0,0.0340909090909,0.00113090189426,3102,370,2,2,18,11,32,0.877014418999,0.104608425219,0.00056545094713,0.0178117048346,Alamance,04,Alamance,3700104
2303,814,993,0,496,688,115,1,0,3,1,6,977,5,0,0,5,0,6,0,0,0,0,0,0,0,467,12,3,0,1,0,13,0.353452019106,0.845208845209,0.141277641278,0.0012285012285,0.012285012285,0.43117672601,0.983887210473,0.00503524672709,0.0,0.0110775427996,0.215371254885,0.941532258065,0.0241935483871,0.00604838709677,0.0282258064516,0.0,2132,132,4,0,9,1,25,0.925749023013,0.0573165436387,0.00173686495875,0.0151975683891,Alamance,05,Alamance,3700105
2167,1260,519,1,387,484,709,5,5,32,6,19,485,13,0,0,10,3,8,0,0,0,0,1,0,0,274,66,0,4,20,6,17,0.581449007845,0.384126984127,0.562698412698,0.00396825396825,0.0492063492063,0.239501615136,0.934489402697,0.0250481695568,0.0,0.0404624277457,0.178587909552,0.708010335917,0.170542635659,0.0,0.121447028424,0.000461467466544,1243,788,5,9,63,15,44,0.573604060914,0.363636363636,0.00230733733272,0.0604522381172,Alamance,063,Alamance,37001063
