Unnamed: 0_level_0,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity
VTD,Total,Male,Male %,Female,Female %,Undes.,Undes.,Total,18-25,18-25 %,26-40,26-40 %,41-65,41-65 %,66+,66+ %,Total,Hispanic,Hisp %,Non-Hisp,Non H %,Undesign.,Undes. %
01,2888,1374,0.4757617728531856,1496,0.518005540166205,18,0.006232686980609419,2888,241,0.08344875346260387,725,0.2510387811634349,1408,0.48753462603878117,514,0.17797783933518005,2888,14,0.004847645429362881,2493,0.8632271468144044,381,0.13192520775623268
02,3064,1451,0.473563968668,1602,0.522845953003,11,0.00359007832898,3064,220,0.0718015665796,715,0.233355091384,1486,0.48498694517,643,0.209856396867,3064,10,0.0032637075718,2655,0.866514360313,399,0.130221932115
035,3035,1311,0.431960461285,1694,0.558154859967,30,0.00988467874794,3035,884,0.291268533773,564,0.185831960461,983,0.323887973641,604,0.199011532125,3035,38,0.0125205930807,2310,0.761120263591,687,0.226359143328
03C,2265,1088,0.480353200883,1168,0.515673289183,9,0.00397350993377,2265,236,0.104194260486,355,0.156732891832,1150,0.507726269316,524,0.231346578366,2265,13,0.00573951434879,1998,0.882119205298,254,0.112141280353
03N,3443,1516,0.44031367993,1904,0.553006099332,23,0.00668022073773,3443,574,0.166715074063,442,0.128376415916,1260,0.365959918676,1167,0.338948591345,3443,27,0.00784199825733,2787,0.809468486785,629,0.182689514958
03S,4318,1882,0.435849930523,2415,0.559286706809,21,0.0048633626679,4318,395,0.0914775358962,1249,0.289254284391,1784,0.413154238073,890,0.20611394164,4318,66,0.0152848540991,3541,0.820055581288,711,0.164659564613
03W,2167,972,0.44854637748,1181,0.544993077988,14,0.00646054453161,2167,216,0.0996769727734,538,0.248269497,1107,0.510844485464,306,0.141209044762,2167,21,0.00969081679742,1816,0.838024919243,330,0.152284263959
04,3537,1653,0.467345207803,1855,0.524455753463,29,0.00819903873339,3537,342,0.0966921119593,725,0.204975968335,1792,0.506644048629,678,0.191687871077,3537,9,0.00254452926209,3030,0.856658184902,498,0.140797285835
05,2303,1095,0.475466782458,1198,0.520191055145,10,0.00434216239687,2303,192,0.08336951802,436,0.189318280504,1165,0.505861919236,510,0.221450282241,2303,5,0.00217108119844,2003,0.869735128094,295,0.128093790708
063,2167,931,0.429626211352,1224,0.564836179049,12,0.00553760959852,2167,210,0.0969081679742,478,0.220581449008,958,0.442085832949,521,0.240424550069,2167,64,0.0295339178588,1680,0.775265343793,423,0.195200738348
064,3535,1627,0.460254596888,1897,0.536633663366,11,0.0031117397454,3535,253,0.0715700141443,891,0.252050919378,1596,0.451485148515,795,0.224893917963,3535,38,0.0107496463932,2916,0.824893917963,581,0.164356435644
06E,1946,812,0.41726618705,1118,0.574511819116,16,0.0082219938335,1946,163,0.0837615621788,475,0.244090441932,830,0.426515930113,478,0.245632065776,1946,30,0.0154162384378,1542,0.792394655704,374,0.192189105858
06N,2063,819,0.396994667959,1219,0.590887057683,25,0.0121182743577,2063,239,0.11585070286,533,0.258361609307,871,0.422200678623,420,0.20358700921,2063,53,0.0256907416384,1462,0.70867668444,548,0.265632573921
06S,2424,1057,0.436056105611,1352,0.557755775578,15,0.00618811881188,2424,204,0.0841584158416,586,0.241749174917,1097,0.452557755776,537,0.221534653465,2424,27,0.0111386138614,2019,0.832920792079,378,0.155940594059
06W,989,397,0.401415571284,589,0.595551061678,3,0.00303336703741,989,100,0.10111223458,262,0.264914054601,383,0.387259858443,244,0.246713852376,989,21,0.0212335692619,787,0.795753286148,181,0.18301314459
07,2572,1208,0.46967340591,1360,0.528771384137,4,0.00155520995334,2572,215,0.0835925349922,567,0.220451010886,1285,0.499611197512,505,0.19634525661,2572,20,0.00777604976672,2204,0.856920684292,348,0.135303265941
08N,2475,1136,0.45898989899,1323,0.534545454545,16,0.00646464646465,2475,215,0.0868686868687,622,0.251313131313,1270,0.513131313131,368,0.148686868687,2475,33,0.0133333333333,2084,0.84202020202,358,0.144646464646
08S,1289,600,0.465477114042,683,0.529868114818,6,0.00465477114042,1289,119,0.0923196276183,275,0.213343677269,656,0.508921644686,239,0.185415050427,1289,9,0.00698215671063,1111,0.861908456168,169,0.131109387122
09N,1757,788,0.448491747297,959,0.545816733068,10,0.00569151963574,1757,145,0.0825270347183,347,0.19749573136,953,0.542401821286,312,0.177575412635,1757,8,0.00455321570859,1469,0.836084234491,280,0.159362549801
09S,3538,1656,0.468061051441,1868,0.527981910684,14,0.00395703787451,3538,316,0.0893159977388,912,0.257772752968,1827,0.516393442623,483,0.13651780667,3538,51,0.0144149236857,2886,0.815715093273,601,0.169869983041
103,2258,1036,0.458813108946,1216,0.538529672276,6,0.00265721877768,2258,192,0.0850310008857,517,0.228963684677,1121,0.49645704163,428,0.189548272808,2258,30,0.0132860938884,1904,0.843224092117,324,0.143489813995
10N,3055,1371,0.448772504092,1673,0.547626841244,11,0.00360065466448,3055,277,0.0906710310966,693,0.226841243863,1481,0.484779050736,604,0.197708674304,3055,30,0.00981996726678,2588,0.847135842881,437,0.143044189853
