,number,GEOID10,NAME10,CD
0,0,37149WO06,WO06,3710
1,1,37149SA04,SA04,3710
2,2,37149TR123,TR123,3710
3,3,37149CL07,CL07,3710
4,4,37149GC09,GC09,3710
5,5,37149CG05,CG05,3710
6,6,37149CL08,CL08,3710
7,7,3715916,16,3708
8,8,3715920,20,3708
9,9,3715944,44,3708
10,10,3715909,09,3708
11,11,3715945,45,3713
12,12,3715903,03,3708
13,13,3715913,13,3708
14,14,3715914,14,3708
15,15,3715946,46,3708
16,16,3715907,07,3713
17,17,3715941,41,3713
18,18,37097CS,CS,3713
19,19,37097BA,BA,3713
20,20,37097CC3,CC3,3713
21,21,37015C2,C2,3701
22,22,37015M1,M1,3701
23,23,37015C1,C1,3701
24,24,37015MH,MH,3701
25,25,37015W2,W2,3701
26,26,37015W1,W1,3701
27,27,37015M2,M2,3701
28,28,37015SN,SN,3701
29,29,3718903,03,3705
30,30,3718904,04,3705
31,31,3718913,13,3705
32,32,3718917,17,3705
33,33,3718909,09,3705
34,34,3718912,12,3705
35,35,3718905,05,3705
36,36,3718915,15,3705
37,37,3718920,20,3705
38,38,3718919,19,3705
39,39,3718914,14,3705
40,40,3718907,07,3705
41,41,3718918,18,3705
42,42,3718910,10,3705
43,43,3718911,11,3705
44,44,3718901,01,3705
45,45,3718908,08,3705
46,46,3718902,02,3705
47,47,3718916,16,3705
48,48,3718906,06,3705
49,49,3701112,12,3705
50,50,3701101,01,3705
51,51,3701103,03,3705
52,52,3701102,02,3705
53,53,37033PELH,PELH,3706
54,54,37033LOCU,LOCU,3706
55,55,37033PROVI,PROVI,3706
56,56,37033STON,STON,3706
57,57,37033YAN2,YAN2,3706
58,58,3701105,05,3705
59,59,3701109,09,3705
60,60,3701118,18,3705
61,61,3701119,19,3705
62,62,3701110,10,3705
63,63,3701104,04,3705
64,64,3701117,17,3705
65,65,37033YAN4,YAN4,3706
66,66,37033MILT,MILT,3706
67,67,37033LEAS,LEAS,3706
68,68,37033HIGH,HIGH,3706
69,69,37033PROS,PROS,3706
70,70,37033ANDE,ANDE,3706
71,71,37015WH,WH,3701
72,72,37015WD,WD,3701
73,73,37015RX,RX,3701
74,74,37015IW,IW,3701
75,75,3701106,06,3705
76,76,3701108,08,3705
77,77,3701114,14,3705
78,78,3701113,13,3705
79,79,3701116,16,3705
80,80,3701115,15,3705
81,81,3701107,07,3705
82,82,3701111,11,3705
83,83,3709362,62,3708
84,84,3709301,01,3708
85,85,3709302,02,3708
86,86,3709363,63,3708
87,87,3709306,06,3708
88,88,3709305,05,3708
89,89,3709313,13,3708
90,90,3709312,12,3708
91,91,3709303,03,3708
92,92,3709361,61,3708
93,93,3709365,65,3708
94,94,3709364,64,3708
95,95,3709304,04,3708
96,96,3715932,32,3713
97,97,3715925,25,3708
98,98,3715927,27,3713
99,99,3715911,11,3713
100,100,3715910,10,3708
101,101,3715933,33,3708
102,102,3715917,17,3708
103,103,3715921,21,3713
104,104,3715902,02,3708
105,105,3715924,24,3713
106,106,3715930,30,3708
107,107,3715904,04,3708
108,108,3715929,29,3713
109,109,3715934,34,3713
110,110,3715908,08,3708
111,111,3715931,31,3708
112,112,3715915,15,3708
113,113,3715923,23,3708
114,114,3715919,19,3708
115,115,3715905,05,3708
116,116,3715936,36,3713
117,117,3715918,18,3708
118,118,3715926,26,3708
119,119,3715922,22,3708
120,120,3715901,01,3708
121,121,3715938,38,3713
122,122,3715942,42,3713
123,123,3715906,06,3708
124,124,3715939,39,3713
125,125,3715912,12,3713
126,126,3715928,28,3708
127,127,3715935,35,3713
128,128,3715940,40,3713
129,129,37101PR26,PR26,3707
130,130,37101PR24,PR24,3702
131,131,37101PR20,PR20,3702
132,132,37101PR09,PR09,3702
133,133,37101PR01,PR01,3707
134,134,37101PR22,PR22,3707
135,135,37101PR21,PR21,3702
136,136,37101PR25,PR25,3702
137,137,37101PR27,PR27,3702
138,138,37101PR28,PR28,3702
139,139,37101PR10,PR10,3702
140,140,37101PR19,PR19,3702
141,141,37101PR12,PR12,3702
142,142,37101PR13,PR13,3707
143,143,37101PR30,PR30,3702
144,144,37101PR06,PR06,3707
145,145,37101PR08,PR08,3707
146,146,37101PR05,PR05,3702
147,147,37101PR14,PR14,3707
148,148,37101PR16,PR16,3707
149,149,37101PR15,PR15,3707
150,150,37101PR02,PR02,3707
151,151,37101PR07,PR07,3707
152,152,37101PR04,PR04,3707
153,153,37101PR18,PR18,3707
154,154,37101PR29A,PR29A,3702
155,155,37101PR32,PR32,3702
156,156,37101PR29B,PR29B,3702
157,157,37101PR34,PR34,3702
158,158,37101PR11B,PR11B,3702
159,159,37101PR31B,PR31B,3702
160,160,37101PR31A,PR31A,3702
161,161,37101PR23,PR23,3707
162,162,37101PR33,PR33,3707
163,163,37101PR03,PR03,3707
164,164,37101PR17,PR17,3707
165,165,37101PR11A,PR11A,3702
166,166,37017P201,P201,3709
167,167,37017P10,P10,3709
168,168,37017P202,P202,3709
169,169,37017P40,P40,3709
170,170,37017P25,P25,3707
171,171,37017P30,P30,3707
172,172,37017P75,P75,3707
173,173,37017P60,P60,3709
174,174,37017P45,P45,3709
175,175,37017P80,P80,3709
176,176,37017P70,P70,3709
177,177,37017P15,P15,3709
178,178,37017P35,P35,3709
179,179,37017P501,P501,3709
180,180,37017P502,P502,3707
181,181,37017P65,P65,3707
182,182,37017P55,P55,3707
183,183,37087BC,BC,3711
184,184,37087CL-N,CL-N,3711
185,185,37087IH,IH,3711
186,186,37087ID,ID,3711
187,187,37087BE-2,BE-2,3711
188,188,37087JC,JC,3711
189,189,37087WS-2,WS-2,3711
190,190,37087WS-1,WS-1,3711
191,191,37087WO,WO,3711
192,192,37087WW,WW,3711
193,193,37087LJ,LJ,3711
194,194,37087AC,AC,3711
195,195,37087PC,PC,3711
196,196,37087BE-1,BE-1,3711
197,197,37087P,P,3711
198,198,37087FC-1,FC-1,3711
199,199,37087EF,EF,3711
200,200,37087CL-S,CL-S,3711
201,201,37087WE,WE,3711
202,202,37087BE56,BE56,3711
203,203,37087CE,CE,3711
204,204,37087BE-3,BE-3,3711
205,205,37087BE-7,BE-7,3711
206,206,37087HA,HA,3711
207,207,37087SA,SA,3711
208,208,37083BUTWD,BUTWD,3701
209,209,37083CONC,CONC,3701
210,210,37083ENF-1,ENF 1,3701
211,211,37083ENF-2,ENF 2,3701
212,212,37083ENF-3,ENF 3,3701
213,213,37083FAUCT,FAUCT,3701
214,214,37083HAL,HAL,3701
215,215,37083HOL,HOL,3701
216,216,37083LIT-1,LIT 1,3701
217,217,37083LIT-2,LIT 2,3701
218,218,37083RINGW,RINGW,3701
219,219,37083ROSEN,ROSEN,3701
220,220,37083RR-1,RR 1,3701
221,221,37083RR-10,RR 10,3701
222,222,37083RR-11,RR 11,3701
223,223,37083RR-2,RR 2,3701
224,224,37083RR-3,RR 3,3701
225,225,37083RR-4,RR 4,3701
226,226,37079BULL,BULL,3703
227,227,37079SHIN,SHIN,3703
228,228,37079WALS,WALS,3703
229,229,37079CAST,CAST,3703
230,230,37079BEAR,BEAR,3703
231,231,37079MAUR,MAUR,3703
232,232,37079SH1,SH1,3703
233,233,37079SUGG,SUGG,3703
234,234,37079ARBA,ARBA,3703
235,235,37079HOOK,HOOK,3703
236,236,37083RR-5,RR 5,3701
237,237,37083RR-6,RR 6,3701
238,238,37083RR-7,RR 7,3701
239,239,37083RR-8,RR 8,3701
240,240,37083RR-9,RR 9,3701
241,241,37083SN-1,SN 1,3701
242,242,37083SN-2,SN 2,3701
243,243,37083WEL-1,WEL 1,3701
244,244,37083WEL-2,WEL 2,3701
245,245,37083WEL-3,WEL 3,3701
246,246,37083HOB,HOB,3701
247,247,37083PAL,PAL,3701
248,248,37087CR,CR,3711
249,249,37087BE-4,BE-4,3711
250,250,37087WC,WC,3711
251,251,37087FC-2,FC-2,3711
252,252,37043BRAS,BRAS,3711
