,GEOID10,excelCountyName,excelVTDId
0,37149WO06,Polk,WO06
1,37149SA04,Polk,SA04
2,37149TR123,Polk,TR123
3,37149CL07,Polk,CL07
4,37149GC09,Polk,GC09
5,37149CG05,Polk,CG05
6,37149CL08,Polk,CL08
7,3715916,Rowan,16
8,3715920,Rowan,20
9,3715944,Rowan,44
10,3715909,Rowan,09
11,3715945,Rowan,45
12,3715903,Rowan,03
13,3715913,Rowan,13
14,3715914,Rowan,14
15,3715946,Rowan,46
16,3715907,Rowan,07
17,3715941,Rowan,41
18,37097CS,Iredell,CS
19,37097BA,Iredell,BA
20,37097CC3,Iredell,CC3
21,37015C2,Bertie,C2
22,37015M1,Bertie,M1
23,37015C1,Bertie,C1
24,37015MH,Bertie,MH
25,37015W2,Bertie,W2
26,37015W1,Bertie,W1
27,37015M2,Bertie,M2
28,37015SN,Bertie,SN
29,3718903,Watauga,03
30,3718904,Watauga,04
31,3718913,Watauga,13
32,3718917,Watauga,17
33,3718909,Watauga,09
34,3718912,Watauga,12
35,3718905,Watauga,05
36,3718915,Watauga,15
37,3718920,Watauga,20
38,3718919,Watauga,19
39,3718914,Watauga,14
40,3718907,Watauga,07
41,3718918,Watauga,18
42,3718910,Watauga,10
43,3718911,Watauga,11
44,3718901,Watauga,01
45,3718908,Watauga,08
46,3718902,Watauga,02
47,3718916,Watauga,16
48,3718906,Watauga,06
49,3701112,Avery,12
50,3701101,Avery,01
51,3701103,Avery,03
52,3701102,Avery,02
53,37033PELH,Caswell,PELH
54,37033LOCU,Caswell,LOCU
55,37033PROVI,Caswell,PROVI
56,37033STON,Caswell,STON
57,37033YAN2,Caswell,YAN2
58,3701105,Avery,05
59,3701109,Avery,09
60,3701118,Avery,18
61,3701119,Avery,19
62,3701110,Avery,10
63,3701104,Avery,04
64,3701117,Avery,17
65,37033YAN4,Caswell,YAN4
66,37033MILT,Caswell,MILT
67,37033LEAS,Caswell,LEAS
68,37033HIGH,Caswell,HIGH
69,37033PROS,Caswell,PROS
70,37033ANDE,Caswell,ANDE
71,37015WH,Bertie,WH
72,37015WD,Bertie,WD
73,37015RX,Bertie,RX
74,37015IW,Bertie,IW
75,3701106,Avery,06
76,3701108,Avery,08
77,3701114,Avery,14
78,3701113,Avery,13
79,3701116,Avery,16
80,3701115,Avery,15
81,3701107,Avery,07
82,3701111,Avery,11
83,3709362,Hoke,62
84,3709301,Hoke,01
85,3709302,Hoke,02
86,3709363,Hoke,63
87,3709306,Hoke,06
88,3709305,Hoke,05
89,3709313,Hoke,13
90,3709312,Hoke,12
91,3709303,Hoke,03
92,3709361,Hoke,61
93,3709365,Hoke,65
94,3709364,Hoke,64
95,3709304,Hoke,04
96,3715932,Rowan,32
97,3715925,Rowan,25
98,3715927,Rowan,27
99,3715911,Rowan,11
100,3715910,Rowan,10
101,3715933,Rowan,33
102,3715917,Rowan,17
103,3715921,Rowan,21
104,3715902,Rowan,02
105,3715924,Rowan,24
106,3715930,Rowan,30
107,3715904,Rowan,04
108,3715929,Rowan,29
109,3715934,Rowan,34
110,3715908,Rowan,08
111,3715931,Rowan,31
112,3715915,Rowan,15
113,3715923,Rowan,23
114,3715919,Rowan,19
115,3715905,Rowan,05
116,3715936,Rowan,36
117,3715918,Rowan,18
118,3715926,Rowan,26
119,3715922,Rowan,22
120,3715901,Rowan,01
121,3715938,Rowan,38
122,3715942,Rowan,42
123,3715906,Rowan,06
124,3715939,Rowan,39
125,3715912,Rowan,12
126,3715928,Rowan,28
127,3715935,Rowan,35
128,3715940,Rowan,40
129,37101PR26,Johnston,PR26
130,37101PR24,Johnston,PR24
131,37101PR20,Johnston,PR20
132,37101PR09,Johnston,PR09
133,37101PR01,Johnston,PR01
134,37101PR22,Johnston,PR22
135,37101PR21,Johnston,PR21
136,37101PR25,Johnston,PR25
137,37101PR27,Johnston,PR27
138,37101PR28,Johnston,PR28
139,37101PR10,Johnston,PR10
140,37101PR19,Johnston,PR19
141,37101PR12,Johnston,PR12
142,37101PR13,Johnston,PR13
143,37101PR30,Johnston,PR30
144,37101PR06,Johnston,PR06
145,37101PR08,Johnston,PR08
146,37101PR05,Johnston,PR05
147,37101PR14,Johnston,PR14
148,37101PR16,Johnston,PR16
149,37101PR15,Johnston,PR15
150,37101PR02,Johnston,PR02
151,37101PR07,Johnston,PR07
152,37101PR04,Johnston,PR04
153,37101PR18,Johnston,PR18
