,STATEFP10,COUNTYFP10,VTDST10,GEOID10,VTDI10,NAME10,NAMELSAD10,LSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,VTD
0,37,149,WO06,37149WO06,P,WO06,Voting District WO06,V1,G5240,S,112373051.0,565151.0,35.31326,-82.1572357,37149WO06WO06
1,37,149,SA04,37149SA04,P,SA04,Voting District SA04,V1,G5240,S,85545403.0,38532.0,35.261091799999996,-82.2979896,37149SA04SA04
2,37,149,TR123,37149TR123,P,TR123,Voting District TR123,V1,G5240,S,45106366.0,20740.0,35.221312100000006,-82.2674082,37149TR123TR123
3,37,149,CL07,37149CL07,P,CL07,Voting District CL07,V1,G5240,S,60133786.0,33643.0,35.265118799999996,-82.1599521,37149CL07CL07
4,37,149,GC09,37149GC09,P,GC09,Voting District GC09,V1,G5240,S,133696997.0,22750.0,35.236497299999996,-82.039908,37149GC09GC09
5,37,149,CG05,37149CG05,P,CG05,Voting District CG05,V1,G5240,S,126226590.0,1018948.0,35.3558851,-82.2085662,37149CG05CG05
6,37,149,CL08,37149CL08,P,CL08,Voting District CL08,V1,G5240,S,52757102.0,264270.0,35.2158261,-82.1578172,37149CL08CL08
7,37,159,16,3715916,P,16,Voting District 16,V1,G5240,S,5874974.0,235138.0,35.518213700000004,-80.62916109999999,371591616
8,37,159,20,3715920,P,20,Voting District 20,V1,G5240,S,9324724.0,0.0,35.5371144,-80.5915275,371592020
9,37,159,44,3715944,P,44,Voting District 44,V1,G5240,S,28498419.0,0.0,35.528153100000004,-80.70232759999999,371594444
10,37,159,09,3715909,P,09,Voting District 09,V1,G5240,S,20766312.0,617871.0,35.542717100000004,-80.65422459999999,371590909
11,37,159,45,3715945,P,45,Voting District 45,V1,G5240,S,19860391.0,313514.0,35.7157458,-80.4589462,371594545
12,37,159,03,3715903,P,03,Voting District 03,V1,G5240,S,23992981.0,5498.0,35.5673607,-80.5190027,371590303
13,37,159,13,3715913,P,13,Voting District 13,V1,G5240,S,37866399.0,27733.0,35.533367999999996,-80.48765829999999,371591313
14,37,159,14,3715914,P,14,Voting District 14,V1,G5240,S,15441551.0,20104.0,35.6163455,-80.4271363,371591414
15,37,159,46,3715946,P,46,Voting District 46,V1,G5240,S,12888040.0,13672.0,35.5937533,-80.445847,371594646
16,37,159,07,3715907,P,07,Voting District 07,V1,G5240,S,74111231.0,104023.0,35.745499,-80.6881183,371590707
17,37,159,41,3715941,P,41,Voting District 41,V1,G5240,S,5916408.0,0.0,35.6944093,-80.5034563,371594141
