GEOID,IDNUM
4200140BERWICK TWP,0
4200110ABBOTTSTOWN,1
42001260HAMILTON TWP,2
42001480UNION TWP,3
42001100CONEWAGO TWP VTD 02,4
42001400MT. PLEASANT TWP VTD 02,5
42001425OXFORD TWP DIST 01,6
4200190CONEWAGO TWP VTD 01,7
42001230GETTYSBURG WD 02,8
42001110CUMBERLAND TWP VTD 01,9
42001130CUMBERLAND TWP VTD 03,10
42001180FRANKLIN TWP VTD 02,11
4200170BUTLER TWP,12
42001450STRABAN TWP VTD 02,13
42001220GETTYSBURG WD 01 PCT 02,14
42001385MT. JOY TWP VTD 02,15
42001120CUMBERLAND TWP VTD 02,16
42001190FREEDOM TWP,17
42001140CUMBERLAND TWP VTD 04,18
42001280HIGHLAND TWP,19
42001170FRANKLIN TWP VTD 01,20
42001240GETTYSBURG WD 03 PCT 01,21
42001150EAST BERLIN,22
42001435READING TWP VTD 02,23
42001430READING TWP VTD 01,24
42001270HAMILTONBAN TWP,25
42001160FAIRFIELD,26
4200120ARENDTSVILLE,27
42001370MENALLEN TWP,28
42001320LIBERTY TWP,29
42001330LITTLESTOWN WD 01,30
42001200GERMANY TWP,31
42001380MT. JOY TWP VTD 01,32
42001390MT. PLEASANT TWP VTD 01,33
4200180CARROLL VALLEY,34
42001460TYRONE TWP,35
42001290HUNTINGTON TWP VTD 01,36
4200180ACarroll Valley Borough,37
42001310LATIMORE TWP,38
42001490YORK SPRINGS,39
4200130BENDERSVILLE,40
42001340LITTLESTOWN WD 02,41
42001350MC SHERRYSTOWN VTD 01,42
42001360MC SHERRYSTOWN VTD 02,43
42001440STRABAN TWP VTD 01,44
4200160BONNEAUVILLE,45
42001427OXFORD TWP DIST 02,46
42001410NEW OXFORD,47
4200150BIGLERVILLE,48
42003472BETHEL PARK WD 02 DIST 03,49
42003481BETHEL PARK WD 03 DIST 01,50
42003486BETHEL PARK WD 03 DIST 02,51
42003493BETHEL PARK WD 03 DIST 03,52
420031371CORAOPOLIS WD 03 DIST 01,53
420031381CORAOPOLIS WD 03 DIST 02,54
420031390CORAOPOLIS WD 04 DIST 01,55
420031400CORAOPOLIS WD 04 DIST 02,56
420031411CRAFTON WD 01 DIST 01,57
420031420CRAFTON WD 01 DIST 02,58
420032631HAMPTON TWP DIST 12,59
420032641HAMPTON TWP DIST 13,60
420032650HARMAR TWP DIST 01,61
420032660HARMAR TWP DIST 02,62
420032670HARMAR TWP DIST 03,63
420032680HARRISON TWP WD 01 DIST 01,64
420032690HARRISON TWP WD 01 DIST 02,65
420033930MC KEESPORT WD 12 DIST 01,66
420033940MC KEESPORT WD 12 DIST 02,67
420033941MC KEESPORT WD 12 DIST 03,68
420033950MILLVALE DIST 01,69
420034000MILLVALE DIST 02,70
420033970MILLVALE DIST 03,71
420035191O HARA TWP WD 01 DIST 02,72
420035201O HARA TWP WD 02 DIST 01,73
420035210O HARA TWP WD 02 DIST 02,74
420035225O HARA TWP WD 03 DIST 01,75
420035230O HARA TWP WD 03 DIST 02,76
420035261O HARA TWP WD 04 DIST 01,77
420035710PENN HILLS TWP WD 08 DIST 03,78
420035720PENN HILLS TWP WD 08 DIST 04,79
420035721PENN HILLS TWP WD 08 DIST 05,80
420035722PENN HILLS TWP WD 08 DIST 06,81
420035730PENN HILLS TWP WD 09 DIST 01,82
420035740PENN HILLS TWP WD 09 DIST 02,83
420038720PITTSBURGH WD 12 DIST 15,84
420038730PITTSBURGH WD 12 DIST 16,85
420038750PITTSBURGH WD 13 DIST 01,86
420038770PITTSBURGH WD 13 DIST 02,87
420038790PITTSBURGH WD 13 DIST 03,88
420038810PITTSBURGH WD 13 DIST 04,89
420038830PITTSBURGH WD 13 DIST 05,90
420038850PITTSBURGH WD 13 DIST 06,91
420038870PITTSBURGH WD 13 DIST 07,92
420038890PITTSBURGH WD 13 DIST 08,93
42003B250PITTSBURGH WD 19 DIST 20,94
42003B270PITTSBURGH WD 19 DIST 21,95
42003B290PITTSBURGH WD 19 DIST 22,96
42003B310PITTSBURGH WD 19 DIST 23,97
42003B330PITTSBURGH WD 19 DIST 24,98
42003B350PITTSBURGH WD 19 DIST 25,99
42003B370PITTSBURGH WD 19 DIST 26,100
42003B390PITTSBURGH WD 19 DIST 27,101
42003C750PITTSBURGH WD 26 DIST 12,102
42003C770PITTSBURGH WD 26 DIST 13,103
42003C790PITTSBURGH WD 26 DIST 14,104
42003C810PITTSBURGH WD 26 DIST 15,105
