,lo,hi,length
0,4200140,4200110,14046.672238
1,4200140,42001260,35954.3091581
2,4200140,42001100,1061.38933817
3,4200140,42001425,8047.61514138
4,4200140,42001427,2001.91491619
5,4200140,42133690,12100.7066427
6,4200140,42133728,15323.3334146
7,4200140,42133380,1650.76107844
8,4200110,42001260,792.847438892
9,4200110,42133690,3539.58012412
10,42001260,42001400,5121.31419064
11,42001260,42001150,10084.33045
12,42001260,42001435,50033.3742775
13,42001260,42001427,15740.1419878
14,42001260,42133690,15055.3702491
15,42001480,42001100,24705.0941911
16,42001480,42001400,8257.52498844
17,42001480,42001330,390.314647222
18,42001480,42001200,25573.6758532
19,42001480,42001390,8741.01255914
20,42001480,42001340,8187.83799999
21,42001480,42133707,0.0
22,42001480,421331050,3309.56579077
23,42001100,42001400,10329.0754963
24,42001100,42001425,18228.0006796
25,42001100,4200190,17602.6598623
26,42001100,42001350,5783.91701676
27,42001100,42001360,4242.31400537
28,42001100,42133707,2571.57234877
29,42001100,42133728,1116.24503933
30,42001100,421331050,0.0
31,42001100,42133350,656.567748584
32,42001400,42001425,29881.5923243
33,42001400,42001450,12677.7956974
34,42001400,42001435,2407.32539281
35,42001400,42001390,28925.2560158
36,42001400,42001440,6846.59321852
37,42001400,42001427,13074.7587048
38,42001425,42001427,18987.031262
39,42001425,42001410,7759.94947596
40,4200190,42001350,4661.94018842
41,4200190,42001360,5422.58000045
42,4200190,42133707,322.208195264
43,4200190,42133350,583.555435033
44,4200190,42133360,837.395763334
45,42001230,42001110,7481.52972497
46,42001230,42001130,4493.63184562
47,42001230,42001220,1596.4835483
48,42001230,42001140,629.665519331
49,42001230,42001240,4739.51766719
50,42001110,42001130,11451.6167507
51,42001110,42001180,3082.05536073
52,42001110,4200170,25884.3690712
53,42001110,42001450,11841.8248993
54,42001110,42001220,3732.21939338
55,42001110,42001440,4855.4050942
56,42001130,42001180,6153.7068887
57,42001130,42001140,28410.8007273
58,42001130,42001280,8131.79629552
59,42001130,42001170,3836.40048466
60,42001180,4200170,13470.3434319
61,42001180,42001170,132576.160899
62,42001180,4200120,13575.7852647
63,42001180,42001370,47628.5512683
64,42001180,42041790,18388.4901171
65,42001180,42055213,3352.65988439
66,4200170,42001450,58913.8570006
67,4200170,4200120,4600.90193908
68,4200170,42001370,35129.6331516
69,4200170,42001460,17684.2950786
70,4200170,4200150,15583.9668343
71,42001450,42001435,5733.00184057
72,42001450,42001460,48489.1932566
73,42001450,42001440,40769.6858205
74,42001220,42001120,9031.98742506
75,42001220,42001240,1334.5030903
76,42001220,42001440,1694.12661049
77,42001385,42001120,52340.9455847
78,42001385,42001200,23554.9329252
79,42001385,42001380,64050.8386621
80,42001120,42001190,19417.8962805
81,42001120,42001140,16071.4878697
82,42001120,42001240,3233.72437218
83,42001120,42001380,2635.96552306
84,42001120,42001440,3486.16095179
85,42001190,42001140,26817.5828255
86,42001190,42001280,23042.3538462
87,42001190,42001320,5918.41535288
88,42001140,42001280,7000.30297977
89,42001140,42001240,5586.57496394
90,42001280,42001170,22214.4631153
91,42001280,42001270,12628.484799
92,42001280,42001320,6781.89346934
93,42001170,42001270,40672.9976087
94,42001170,42055213,2932.5533341
95,42001170,42055280,728.224412655
96,42001150,42001435,2450.2077718
97,42001150,42001430,8114.33460251
98,42001150,42133690,1477.34744243
99,42001435,42001430,29840.7321759
100,42001435,42001460,20615.6298493
101,42001435,42001290,10202.7534086
102,42001435,42001310,1961.15304694
103,42001430,42001310,44527.8453994
104,42001430,42133690,1256.20016299
105,42001430,42133980,17041.3062332
106,42001270,42001160,16997.0174942
107,42001270,42001320,45682.6594899
108,42001270,4200180,6734.33565947
109,42001270,4200180A,20333.2819887
110,42001270,42055280,843.195933091
111,42001270,42055490,3237.23820484
112,42001270,42055520,5844.27707262
113,42001270,42055600,2473.11110486
114,42001370,42001460,21343.3601483
115,42001370,4200130,13104.2445146
116,42001370,42041760,0.0
117,42001370,42041770,18178.0346224
118,42001370,42041790,6607.38276442
119,42001370,42041150,35989.4242487
120,42001370,42041170,680.848492274
121,42001320,4200180,51639.146726
122,42001320,4200180A,15978.4996201
123,42001320,42055600,3799.28647271
124,42001330,42001200,14547.3218494
125,42001330,42001340,19391.7312651
126,42001200,42001380,4475.4311936
127,42001200,42001390,9581.29357976
128,42001200,42001340,3402.04555216
129,42001380,42001390,26700.2719664
130,42001380,42001440,21353.3888688
131,42001390,42001440,42216.1893026
132,42001390,4200160,28675.0007894
133,4200180,4200180A,9719.33727336
134,42001460,42001290,53655.317541
135,42001460,42041170,8938.28280529
136,42001290,42001310,32691.6334686
137,42001290,42001490,7124.44951406
138,42001290,42041750,8378.80681008
139,42001290,42041170,18579.9790193
140,42001310,42001490,4143.38857965
141,42001310,42041750,6735.00314948
142,42001310,42133980,16258.5745631
143,42001310,42133280,30703.4826183
144,42001350,42001360,1667.26294797
145,42001427,42001410,15782.598337
146,42003472,42003565,1350.63296309
147,42003472,42003625,1869.84640044
148,42003472,42003F480,1483.78276301
149,42003472,42003F528,88.455327957
150,42003472,42003F529,1837.0490836
151,42003472,42003461,3446.63215938
152,42003472,42003466,9127.57707585
153,42003481,42003486,10974.0705318
154,42003481,42003493,3027.88574441
155,42003481,42003562,1292.98393064
156,42003481,42003571,1653.3334782
157,42003481,42003623,2821.91903697
158,42003481,42003624,289.190991008
159,42003486,42003571,10816.9678089
160,42003486,42003G120,16.5499393043
161,42003486,42003G130,1450.01383622
162,42003486,42003G200,0.0
163,42003486,42003623,2541.06751042
164,42003493,42003562,409.203349129
165,42003493,42003565,7244.45195548
166,42003493,42003625,2945.76211592
167,42003493,42003624,2595.0644243
168,42003493,42003461,1594.4296494
169,420031371,420031381,4053.39534521
170,420031371,420034245,2257.91462029
171,420031371,420034331,982.319322179
172,420031371,420031331,408.838638243
173,420031371,420031341,5542.33519207
174,420031371,420031351,1481.08638162
175,420031381,420031390,413.25171137
176,420031381,420031400,1665.01185982
177,420031381,420034331,3154.55969231
178,420031381,420031351,3942.83087665
179,420031390,420031400,3814.76851342
180,420031390,42003E351,517.64162944
181,420031390,420034940,1247.64856538
182,420031390,420031351,3849.27062112
183,420031400,420034291,5374.96983387
184,420031400,420034331,179.836753519
185,420031400,42003E351,1453.00451581
186,420031411,420031420,1762.1584266
187,420031411,420031440,5873.2302104
188,420031411,420031451,183.967549526
189,420031411,420031471,579.747679746
190,420031411,42003D140,960.016783048
191,420031411,42003D160,1415.29871664
192,420031420,420031440,920.370711519
193,420031420,42003D220,2391.67981734
194,420031420,42003D160,1592.65449588
195,420031420,42003D200,660.728662473
196,420032631,420032641,6790.51837588
197,420032631,420032560,2788.82023691
198,420032631,420032571,3129.01198278
199,420032631,420032581,5612.69826108
200,420032631,420032630,1444.1853268
201,420032641,420033420,550.019496882
202,420032641,420033430,744.854006225
203,420032641,420033440,0.0
204,420032641,420032560,10367.2353432
205,420032641,420032571,2728.29359053
206,420032641,420032576,7109.36605983
207,420032650,420032660,551.973062548
208,420032650,420032670,1407.32364205
209,420032650,420035271,2136.06436424
210,420032650,420035370,5646.66905776
211,420032650,420032920,1774.11669827
212,420032650,420032930,8693.01791931
213,420032650,420032950,10895.4796659
214,420032650,42003E050,2819.38402223
215,420032650,420032321,5697.23477287
216,420032660,420032670,8378.36088308
217,420032660,42003E045,2230.17534057
218,420032660,42003E050,5070.36740235
219,420032660,420031091,342.278204126
220,420032660,420031101,435.33527171
221,420032660,42003F585,333.459062776
222,420032670,420032930,5662.43158628
223,420032670,42003F585,1673.77744606
224,420032670,420032381,301.886330183
225,420032680,420032690,3053.82309142
226,420032680,420032700,4686.13947648
227,420032680,420032770,2000.92814623
228,420032680,42003660,1178.35532706
229,420032690,420032625,10750.7595481
230,420032690,420032770,679.853269106
231,420032690,420032780,391.922499866
232,420032690,42003660,1769.22521551
233,420032690,42003670,3040.51970022
234,420032690,420032170,7949.92293516
235,420032690,42003F900,2007.31030477
236,420032690,42003F950,455.728529272
237,420033930,420033940,1626.05700528
238,420033930,420033941,3902.48340948
239,420033930,42003G250,2922.05788646
240,420033930,420033191,4108.19597961
241,420033930,420033210,0.0
242,420033930,420033850,1585.40156252
243,420033930,420033860,2824.09484128
244,420033930,420033910,3902.77738318
245,420033940,420033941,3622.90816671
246,420033940,42003G680,3397.03548388
247,420033940,42003G700,2147.17013612
248,420033940,42003G730,632.275488729
249,420033940,420033780,2241.51038482
250,420033940,420033840,4080.50429792
251,420033940,420033860,1080.99961634
252,420033941,42003G240,3651.74767512
253,420033941,42003G250,1197.30767175
254,420033941,420031990,851.382192006
255,420033941,420032020,589.621656564
256,420033941,42003G730,2749.20681009
257,420033950,420033970,783.675616983
258,420033950,420033980,497.756130847
259,420033950,42003F090,2803.76950176
260,420033950,420036860,790.181538616
261,420033950,420037540,699.36497454
262,420033950,420037560,393.384268962
263,420033950,420037580,361.797822183
264,420033950,42003E260,4512.68179787
265,420033950,42003C320,2353.22579414
266,420034000,420033970,393.161201712
267,420034000,420033990,1603.08747144
268,420034000,42003F090,1596.57066425
269,420034000,42003F101,0.0
270,420034000,42003F102,723.930635859
271,420033970,420033980,2976.56150601
272,420033970,420033990,808.552402189
273,420033970,42003F090,598.560542986
274,420033970,42003E280,875.755101825
275,420035191,420035730,320.19165036
276,420035191,420035271,5653.84831727
277,420035191,420035281,0.0
278,420035191,42003G210,1045.00954409
279,420035191,42003631,6240.38253936
280,420035191,420035181,9207.72528308
281,420035201,420035210,7902.71013403
282,420035201,420035225,8028.96011813
283,420035201,420035241,2572.0476928
284,420035201,420032331,258.917608405
285,420035201,420032338,0.0
286,420035210,420035225,304.000794098
287,420035210,420032940,9074.71359866
288,420035210,42003F290,0.0
289,420035210,42003F320,2950.69646807
290,420035210,420032331,0.0
291,420035210,420032338,4969.74002009
292,420035225,420035230,8052.12799065
293,420035225,420035241,3045.37867584
294,420035225,42003F290,619.748174861
295,420035225,42003F320,0.0
296,420035230,420035241,564.178892361
297,420035230,42003F290,366.371318542
298,420035230,42003F331,963.963410023
299,420035230,42003F351,3143.54112123
300,420035230,42003F371,3091.41578888
301,420035261,420032310,3435.96545148
302,420035261,420032344,2830.52928956
303,420035261,420035181,5784.47610106
304,420035261,420038670,1908.74782124
305,420035710,420035722,2468.07642999
306,420035710,420035730,3955.48869692
307,420035710,420035740,1401.88641026
308,420035710,42003G210,2542.8699813
309,420035710,42003G220,2178.36293376
310,420035720,420035721,2775.54591325
311,420035720,420035722,526.734847792
312,420035720,420035660,3706.38091921
313,420035720,420035680,426.996073522
314,420035720,420035683,1319.85028616
315,420035720,420035690,5673.81561922
316,420035721,420035722,3790.04413502
317,420035721,420035310,5282.98979412
318,420035721,42003G230,59.1837035211
319,420035721,42003E050,10370.7906224
320,420035721,42003E135,760.026919759
321,420035721,420035683,5700.39773997
322,420035721,420035690,4129.3983959
323,420035721,420035700,2091.37366112
324,420035722,420035740,3504.95224878
325,420035722,420035750,1971.17800852
326,420035722,42003G220,1963.70833017
327,420035722,42003G230,0.0
328,420035722,420035660,100.363152846
329,420035722,420035690,3166.92446672
330,420035722,420035700,10468.6980696
331,420035730,420035740,746.01706041
332,420035730,420035750,10850.7538702
333,420035730,42003G210,2378.697443
334,420035730,42003631,300.323195414
335,420035740,420035750,4321.26617707
336,420038720,420038810,1177.46113507
337,420038720,420038830,1604.19700637
338,420038720,420035430,464.785150145
339,420038720,420038690,5282.74210654
