VTD,B02001e1,B02008e1,B02009e1,B02010e1,B02011e1,B02012e1,B02013e1,B03002e1,B03003e1,B17017e1,B17021e1,B19301e1,C17002e1,VTD.1,ID
4200140BERWICK TWP,2231.01279318,1956.62189055,25.5863539446,24.7818052594,176.586353945,0.0,76.1172707889,2231.01279318,2231.01279318,909.115138593,2224.89552239,28491.6268657,2224.89552239,4200140BERWICK TWP,0
4200110ABBOTTSTOWN,937.707889126,930.52238806,10.7782515991,14.3710021322,10.7782515991,0.0,2.15565031983,937.707889126,937.707889126,351.371002132,935.552238806,16628.6865672,935.552238806,4200110ABBOTTSTOWN,1
42001260HAMILTON TWP,2391.00293579,2304.55923898,77.152982396,4.84719260839,14.1379070191,0.0,0.727078891258,2391.00293579,2391.00293579,870.87566832,2390.2758569,31512.6564164,2390.2758569,42001260HAMILTON TWP,2
42001480UNION TWP,3143.0,3072.0,0.0,25.0,76.0,0.0,0.0,3143.0,3143.0,1150.0,3138.0,29219.0,3138.0,42001480UNION TWP,3
42001100CONEWAGO TWP VTD 02,3991.59389745,3983.76124567,0.0,10.1824473105,0.0,0.0,7.83265177729,3991.59389745,3991.59389745,1456.17332494,3980.62818496,43933.2054105,3980.62818496,42001100CONEWAGO TWP VTD 02,4
42001400MT. PLEASANT TWP VTD 02,2176.94970868,2126.90662478,0.0,42.5653817082,12.0793650794,0.0,37.9637188209,2176.94970868,2176.94970868,839.836900119,2169.47200649,20263.6930733,2169.47200649,42001400MT. PLEASANT TWP VTD 02,5
42001425OXFORD TWP DIST 01,2394.22924762,2379.22394913,0.0,0.0,15.0052984811,0.0,30.6358177323,2394.22924762,2394.22924762,1059.77287178,2302.94701519,41341.7541505,2302.94701519,42001425OXFORD TWP DIST 01,6
4200190CONEWAGO TWP VTD 01,2942.40610255,2940.23875433,0.0,2.81755268953,0.0,0.0,2.16734822271,2942.40610255,2942.40610255,1229.82667506,2939.37181504,30912.7945895,2939.37181504,4200190CONEWAGO TWP VTD 01,7
42001230GETTYSBURG WD 02,3316.0,3093.0,177.0,60.0,64.0,0.0,35.0,3316.0,3316.0,620.0,1253.0,21785.0,1253.0,42001230GETTYSBURG WD 02,8
42001110CUMBERLAND TWP VTD 01,1986.3313253,1869.44277108,119.210843373,10.063253012,10.063253012,0.0,125.403614458,1986.3313253,1986.3313253,633.984939759,1526.51807229,18336.7951807,1526.51807229,42001110CUMBERLAND TWP VTD 01,9
