VTD,lat,long
4200140BERWICK TWP,-76.9917002017585,39.860831488540875
4200110ABBOTTSTOWN,-76.98881095920834,39.88424068916994
42001260HAMILTON TWP,-77.02094855485383,39.90046082500889
42001480UNION TWP,-77.0470386169823,39.757072269958286
42001100CONEWAGO TWP VTD 02,-77.02594967277732,39.79747838466065
42001400MT. PLEASANT TWP VTD 02,-77.08285900088262,39.847306608792984
42001425OXFORD TWP DIST 01,-77.04140204625699,39.842709482729795
4200190CONEWAGO TWP VTD 01,-77.00999351925094,39.79922258864592
42001230GETTYSBURG WD 02,-77.23783775853724,39.83525307460741
42001110CUMBERLAND TWP VTD 01,-77.24048623832637,39.86450216456041
42001130CUMBERLAND TWP VTD 03,-77.26978928327895,39.84169741131656
42001180FRANKLIN TWP VTD 02,-77.37506273610722,39.918731024845606
4200170BUTLER TWP,-77.23651763454622,39.92504418664607
42001450STRABAN TWP VTD 02,-77.16323550360079,39.88646054706115
42001220GETTYSBURG WD 01 PCT 02,-77.22593707059019,39.831500869645886
42001385MT. JOY TWP VTD 02,-77.18531721629418,39.75304857388392
42001120CUMBERLAND TWP VTD 02,-77.24011198716956,39.77012670864224
42001190FREEDOM TWP,-77.2955452588621,39.7574185855754
42001140CUMBERLAND TWP VTD 04,-77.26614494684468,39.80052545154865
42001280HIGHLAND TWP,-77.32282983531674,39.82299826647824
42001170FRANKLIN TWP VTD 01,-77.39051978177774,39.871638693674846
42001240GETTYSBURG WD 03 PCT 01,-77.23734804010319,39.82408669603025
42001150EAST BERLIN,-76.97939111920283,39.93692332215949
42001435READING TWP VTD 02,-77.05124342717392,39.935520726098005
42001430READING TWP VTD 01,-77.01629607082135,39.969296306979935
42001270HAMILTONBAN TWP,-77.41359841686761,39.80288212474834
42001160FAIRFIELD,-77.41359841686761,39.80288212474834
4200120ARENDTSVILLE,-77.29988725587681,39.92340559051804
42001370MENALLEN TWP,-77.30349784557775,39.97862257804074
42001320LIBERTY TWP,-77.37028382354264,39.74393956462446
42001330LITTLESTOWN WD 01,-77.08734336757003,39.74162934897158
42001200GERMANY TWP,-77.10787779451888,39.73690096687365
42001380MT. JOY TWP VTD 01,-77.16239419659966,39.788414988064794
42001390MT. PLEASANT TWP VTD 01,-77.12786338831411,39.81509117352165
4200180CARROLL VALLEY,-77.37288246796025,39.74776679119303
42001460TYRONE TWP,-77.15494086009888,39.95428407722456
42001290HUNTINGTON TWP VTD 01,-77.1421363583049,39.997692579299326
4200180ACarroll Valley Borough,-77.38895937253541,39.75224504811406
42001310LATIMORE TWP,-77.08726715248707,40.0216157538272
42001490YORK SPRINGS,-77.11575558582147,40.00935877756549
4200130BENDERSVILLE,-77.11575558582147,40.00935877756549
42001340LITTLESTOWN WD 02,-77.09108474957483,39.748714966977346
42001350MC SHERRYSTOWN VTD 01,-77.02320648834265,39.80217444030993
42001360MC SHERRYSTOWN VTD 02,-77.01403610914791,39.80591421326175
42001440STRABAN TWP VTD 01,-77.18669280705238,39.83987664630544
4200160BONNEAUVILLE,-77.18669280705238,39.83987664630544
42001427OXFORD TWP DIST 02,-77.05173312172525,39.869508076806085
42001410NEW OXFORD,-77.05547738125362,39.863001005640555
4200150BIGLERVILLE,-77.05547738125362,39.863001005640555
42003472BETHEL PARK WD 02 DIST 03,-80.02982792573832,40.29964596945056
42003481BETHEL PARK WD 03 DIST 01,-80.0574708828837,40.31159531304508
42003486BETHEL PARK WD 03 DIST 02,-80.0604317225511,40.31667649969051
42003493BETHEL PARK WD 03 DIST 03,-80.0478858946525,40.303460876613514
420031371CORAOPOLIS WD 03 DIST 01,-80.16975604042686,40.51355316540823
420031381CORAOPOLIS WD 03 DIST 02,-80.1630487462651,40.511156677926586
420031390CORAOPOLIS WD 04 DIST 01,-80.15318208085613,40.5130674912576
420031400CORAOPOLIS WD 04 DIST 02,-80.15361777143934,40.50781182150676
420031411CRAFTON WD 01 DIST 01,-80.06403223670928,40.43303251896202
420031420CRAFTON WD 01 DIST 02,-80.0594684899716,40.43365393475649
420032631HAMPTON TWP DIST 12,-79.96800569228094,40.57259352177505
420032641HAMPTON TWP DIST 13,-79.9809811136519,40.569590038252485
420032650HARMAR TWP DIST 01,-79.84730130385097,40.545808993768055
420032660HARMAR TWP DIST 02,-79.81590577202351,40.54334756991877
420032670HARMAR TWP DIST 03,-79.8194626780081,40.55609187503397
420032680HARRISON TWP WD 01 DIST 01,-79.73353237770883,40.61560964898532
420032690HARRISON TWP WD 01 DIST 02,-79.74402483544601,40.6187072181571
420033930MC KEESPORT WD 12 DIST 01,-79.83606987018561,40.32837384159041
420033940MC KEESPORT WD 12 DIST 02,-79.82603409385595,40.340117296382395
420033941MC KEESPORT WD 12 DIST 03,-79.82470956732595,40.32593054826354
420033950MILLVALE DIST 01,-79.97105614864755,40.47559704614708
420034000MILLVALE DIST 02,-79.97151812176483,40.48683239909441
420033970MILLVALE DIST 03,-79.9745982456946,40.481781676825136
420035191O HARA TWP WD 01 DIST 02,-79.85727495559226,40.49988197472632
420035201O HARA TWP WD 02 DIST 01,-79.92420896621151,40.51602862546639
420035210O HARA TWP WD 02 DIST 02,-79.92585461250447,40.52673233994952
420035225O HARA TWP WD 03 DIST 01,-79.92595726057267,40.50780634990163
420035230O HARA TWP WD 03 DIST 02,-79.92717025757027,40.50016862981784
420035261O HARA TWP WD 04 DIST 01,-79.88503600483483,40.49532455691983
420035710PENN HILLS TWP WD 08 DIST 03,-79.83884902477142,40.4990902327097
420035720PENN HILLS TWP WD 08 DIST 04,-79.81258044279802,40.496691823190574
420035721PENN HILLS TWP WD 08 DIST 05,-79.81289177390876,40.509352301253735
420035722PENN HILLS TWP WD 08 DIST 06,-79.82773494922402,40.497325202149504
420035730PENN HILLS TWP WD 09 DIST 01,-79.84349070812804,40.49225230107526
420035740PENN HILLS TWP WD 09 DIST 02,-79.83232413292424,40.48956455997146
420038720PITTSBURGH WD 12 DIST 15,-79.89285215030131,40.46451858565402
420038730PITTSBURGH WD 12 DIST 16,-79.89045438909834,40.47311556785606
420038750PITTSBURGH WD 13 DIST 01,-79.89983063508583,40.45543724545952
420038770PITTSBURGH WD 13 DIST 02,-79.89839482324149,40.45848356473713
420038790PITTSBURGH WD 13 DIST 03,-79.89739535463893,40.460719117151505
420038810PITTSBURGH WD 13 DIST 04,-79.89721361617812,40.4628503814224
420038830PITTSBURGH WD 13 DIST 05,-79.89162314231656,40.46070436119956
420038850PITTSBURGH WD 13 DIST 06,-79.89166186233746,40.45855771505095
420038870PITTSBURGH WD 13 DIST 07,-79.89417961994332,40.45668820854905
420038890PITTSBURGH WD 13 DIST 08,-79.89556746495023,40.453425109657275
42003B250PITTSBURGH WD 19 DIST 20,-80.02359768106128,40.40379610301717
42003B270PITTSBURGH WD 19 DIST 21,-80.02988011327028,40.4032366775908
42003B290PITTSBURGH WD 19 DIST 22,-80.02815670662287,40.39994513687178
42003B310PITTSBURGH WD 19 DIST 23,-80.02189121472261,40.4000147699789
42003B330PITTSBURGH WD 19 DIST 24,-80.02795753509348,40.39475251273717
42003B350PITTSBURGH WD 19 DIST 25,-80.02355935658932,40.391752710285445
42003B370PITTSBURGH WD 19 DIST 26,-80.02028493478953,40.39054723777104
42003B390PITTSBURGH WD 19 DIST 27,-80.01304094424627,40.39089560030274
42003C750PITTSBURGH WD 26 DIST 12,-80.0203824264543,40.48361940679306
42003C770PITTSBURGH WD 26 DIST 13,-80.02234585311547,40.493599121012714
42003C790PITTSBURGH WD 26 DIST 14,-80.00738537210421,40.49113369061448
42003C810PITTSBURGH WD 26 DIST 15,-80.01489944581229,40.49465011662116
42003C830PITTSBURGH WD 26 DIST 16,-80.01338381507162,40.48779719230886
42003C840PITTSBURGH WD 26 DIST 17,-79.98860501314046,40.472113121020854
42003E815SCOTT TWP WD 02 DIST 02,-80.08069557870432,40.38423813789078
42003E841SCOTT TWP WD 03 DIST 01,-80.09328204156515,40.36937668651278
42003E850SCOTT TWP WD 03 DIST 02,-80.08888953997024,40.36835063645038
42003E870SCOTT TWP WD 04 DIST 01,-80.08259507144476,40.370297328882714
42003E880SCOTT TWP WD 04 DIST 02,-80.07965015043054,40.36521946665574
42003G041TURTLE CREEK WD 03 DIST 01,-79.82805774060095,40.40929908534105
42003G060TURTLE CREEK WD 03 DIST 02,-79.81999163442968,40.41291890518352
42003G070UPPER ST. CLAIR TWP WD 01 DIST 01,-80.08872405212173,40.34277380490189
42003G080UPPER ST. CLAIR TWP WD 01 DIST 02,-80.0963232056522,40.34756464134027
42003G081UPPER ST. CLAIR TWP WD 01 DIST 03,-80.08126577624259,40.35814132922471
42003H051WILKINSBURG WD 02 DIST 02,-79.86516051658312,40.44107206394361
42003H011WILKINSBURG WD 02 DIST 03,-79.8751961847329,40.43598590249577
42003H021WILKINSBURG WD 02 DIST 04,-79.87748893630905,40.44084632682085
42003H031WILKINSBURG WD 02 DIST 05,-79.88423921414791,40.44037401828711
42003H070WILKINSBURG WD 03 DIST 01,-79.89314681745729,40.43629615514553
42003H080WILKINSBURG WD 03 DIST 02,-79.88831537435063,40.43781497014342
42003H091WILKINSBURG WD 03 DIST 03,-79.88003654034027,40.44576093117894
42003H101WILKINSBURG WD 03 DIST 04,-79.89188690717776,40.44041571543421
42003501BETHEL PARK WD 04 DIST 01,-80.00917924433901,40.341909728971686
42003511BETHEL PARK WD 04 DIST 02,-80.0228149146256,40.3411918472658
42003522BETHEL PARK WD 04 DIST 03,-80.01595213041054,40.33173503807658
42003530BETHEL PARK WD 05 DIST 01,-80.02031898857621,40.35184352432657
42003540BETHEL PARK WD 05 DIST 02,-80.02949109674137,40.350649403024505
420031440CRAFTON WD 02 DIST 01,-80.06369432895195,40.43890833224458
420031451CRAFTON WD 02 DIST 02,-80.07229740295571,40.4389725826726
420031471CRAFTON WD 03 DIST 01,-80.07237624932162,40.43333419064154
420031490CRAFTON WD 03 DIST 02,-80.0795659242057,40.42769288735352
420031500CRESCENT TWP WD 01,-80.22318511009782,40.55248932850657
420031510CRESCENT TWP WD 02,-80.23535508233181,40.5610369043148
420031520DORMONT DIST 01,-80.03631519033001,40.4007295998068
420031630DORMONT DIST 02,-80.03780153569673,40.385712092966074
420031541DORMONT DIST 03,-80.03186555430186,40.39341462531227
420031550DORMONT DIST 04,-80.03927114180462,40.398471496777866
420031561DORMONT DIST 05,-80.03481249284293,40.39646884747526
