GEOID,IDNUM
46900248511,0
47903408622,1
294046777,2
325003B6306,3
46300038439,4
46300048440,5
46300058441,6
46300068442,7
46300078443,8
46300088444,9
46300098445,10
46300108446,11
46300118447,12
46300128448,13
46300138449,14
46300148450,15
4650010A8466,16
4650010B8467,17
46500118451,18
46500128452,19
46500138453,20
46500208454,21
46500218455,22
46500228456,23
46500238457,24
46500248458,25
46500308459,26
46500318460,27
46500328461,28
46500338462,29
46500408463,30
4650041A8468,31
4650041B8469,32
46500428464,33
46500438465,34
47500028560,35
475001E8561,36
475001W8562,37
475003N8563,38
475003S8564,39
475004E8565,40
475004M8566,41
475004W8567,42
47901228589,43
47901248590,44
47901258591,45
47901288592,46
47901298593,47
47901308594,48
47901328595,49
47901338596,50
47901348597,51
47901358598,52
47901368599,53
47901548600,54
47901648601,55
47902158602,56
47902188603,57
47902198604,58
47902208605,59
47902218606,60
47902268607,61
47902278608,62
47902318609,63
47902378610,64
47902398611,65
4790252A8656,66
4790252B8657,67
4790252C8658,68
47902558612,69
47902668613,70
23504005468,71
23501005465,72
23503005467,73
25930305740,74
25920205738,75
25930605742,76
25940505743,77
25940705744,78
25920805739,79
25941005745,80
25911105737,81
25930405741,82
25910105736,83
2592120A5746,84
16300013485,85
16300023486,86
16300033487,87
1630004A3493,88
1630004B3494,89
16300053488,90
16300063489,91
16300083490,92
16300093491,93
16300103492,94
20901104941,95
20901114942,96
20901124943,97
20901134944,98
20901204945,99
20901254946,100
20901274947,101
20901294948,102
20902214949,103
20902234950,104
20902244951,105
20902254952,106
20902264953,107
20902284954,108
20902294955,109
20902304956,110
20902324957,111
20902344958,112
20902364959,113
20903014961,114
20903154962,115
20903164963,116
20903174964,117
20903184965,118
20903304966,119
20903324967,120
20903334968,121
20903344969,122
20903354970,123
20903364971,124
20903374972,125
20903394973,126
20904134974,127
20904144975,128
20904154976,129
20904164977,130
20904174978,131
20904184979,132
20904194980,133
20904204981,134
2090421A4988,135
2090421B4989,136
20904404982,137
2090441A4990,138
20904474986,139
20904494987,140
291118361,141
291119362,142
291120363,143
291121364,144
291122365,145
291123366,146
291124367,147
291125368,148
291126369,149
291127370,150
291128371,151
291129372,152
291130373,153
291131374,154
291132375,155
291133376,156
291134377,157
291135378,158
291136379,159
291137380,160
291138381,161
291139382,162
292001383,163
292002384,164
292003385,165
292004386,166
292005387,167
292006388,168
292007389,169
292008390,170
292009391,171
292010392,172
292011393,173
292012394,174
292013395,175
292014396,176
292015397,177
292016398,178
292017399,179
292018400,180
292019401,181
292020402,182
292021403,183
292022404,184
292023405,185
292024406,186
292025407,187
292026408,188
292027409,189
292028410,190
292029411,191
292030412,192
292031413,193
292032414,194
292033415,195
292034416,196
292035417,197
292036418,198
292037419,199
292038420,200
292039421,201
292040422,202
292041423,203
292042424,204
292043425,205
