,lo,hi,length
0,46900248511,46900118498,519087565.637
1,46900248511,46900038490,334239160.832
2,46900248511,46900238510,1386229938.84
3,46900248511,46900218508,1085024896.82
4,46900248511,46900338520,1250556463.59
5,46900248511,46900098496,344777255.532
6,46900248511,46900208507,4013142912.24
7,47903408622,47902398611,457370135.0
8,47903408622,47903098617,181739239.823
9,47903408622,47903418623,454102080.274
10,47903408622,47903428624,81698360.5496
11,47903408622,47903438625,454870129.059
12,47903408622,47903448626,0.0
13,294046777,294117848,72506959.2664
14,294046777,294120851,299080444.915
15,294046777,294139870,47215275.3323
16,294046777,294210940,415833809.72
17,294046777,293048592,134411008.67
18,294046777,293049593,264573380.723
19,294046777,293050594,263801946.186
20,294046777,293118661,0.0
21,294046777,294038769,51196777.3115
22,294046777,294091822,0.0
23,3250036306,16300063489,214884500.241
24,3250036306,16300083490,711052155.32
25,3250036306,3250016301,7706107527.97
26,3250036306,3250036305,6741876633.88
27,3250036306,3250036307,354512364.222
28,3250036306,3250046309,5183904413.3
29,3250036306,3250046310,0.0
30,46300038439,46300048440,6298136058.21
31,46300038439,46300028438,4599836632.85
32,46300038439,38500026980,248003618.045
33,46300038439,190410152,1042929870.59
34,46300038439,3250016298,250577508.594
35,46300048440,46300078443,513942547.426
36,46300048440,46300118447,603598287.703
37,46300048440,46300128448,4602065847.49
38,46300048440,46300148450,11040392663.9
39,46300048440,46300028438,4609329265.43
40,46300048440,38500026980,1015152156.17
41,46300048440,38500066983,171136774.559
42,46300058441,46300118447,11262215404.9
43,46300058441,46300128448,2417127548.39
44,46300058441,46300018437,6896351724.98
45,46300058441,46300028438,2102207317.43
46,46300058441,50700018936,743962731.448
47,46300068442,46300078443,7177889696.73
48,46300068442,46300148450,2448545056.98
49,46300068442,38500036981,780317475.267
50,46300068442,38500066983,201793430.826
51,46300068442,13700022976,610429149.522
52,46300068442,27100025793,939183682.907
53,46300078443,46300088444,256116589.187
54,46300078443,46300128448,1320671466.64
55,46300078443,46300138449,10313550954.4
56,46300078443,46300148450,4606337185.21
57,46300078443,46300018437,595641724.959
58,46300078443,27100025793,1104744008.3
59,46300088444,46300098445,356148015.426
60,46300088444,46300138449,730851506.382
61,46300088444,46300018437,1042771734.48
62,46300098445,46300108446,377677397.835
63,46300098445,46300138449,1415316041.04
64,46300098445,46300018437,118121568.826
65,46300108446,46300138449,541140751.017
66,46300108446,46300018437,337550140.112
67,46300118447,46300128448,4721262701.59
68,46300118447,46300028438,13835728809.2
69,46300128448,46300018437,2492165459.7
70,46300138449,46300018437,1841269609.32
71,46300138449,50700018936,1608853675.42
72,46300138449,50700048939,2274249416.8
73,46300138449,27100025793,303016004.381
74,46300138449,27100045795,158353594.185
75,46300138449,3230046292,0.0
76,46300148450,38500066983,514705294.033
77,46500108466,46500138453,152253024.172
78,46500108466,46500408463,282087913.397
79,46500108466,46500418468,0.0
80,46500108467,46500118451,777964688.361
81,46500108467,46500138453,1002069563.29
82,46500108467,46500228456,649174085.36
83,46500108467,46500308459,661931959.003
84,46500108467,46500408463,1263316020.34
85,46500118451,46500138453,239903972.338
86,46500118451,46500218455,699209897.573
87,46500118451,46500228456,696811401.184
88,46500128452,46500138453,889239354.538
89,46500128452,46500228456,207957663.958
90,46500128452,46500248458,693956393.371
91,46500138453,46500218455,352979231.308
92,46500138453,46500228456,300688002.347
93,46500138453,46500248458,1870320632.99
94,46500138453,46500408463,546153750.64
95,46500138453,46500418468,603017931.578
96,46500138453,27100015792,7652084043.97
97,46500138453,27100035794,0.0
98,46500208454,46500238457,331689595.51
99,46500208454,46500248458,1173514980.72
100,46500208454,46500328461,33729455320.8
101,46500208454,46500338462,816689597.793
102,46500208454,43504017317,2143355581.75
103,46500208454,13700032977,2445211318.63
104,46500208454,27100035794,369787338.121
105,46500218455,46500228456,531793123.444
106,46500228456,46500238457,1048671166.32
107,46500228456,46500248458,1404718815.42
108,46500228456,46500308459,54157820.8939
109,46500228456,46500318460,529582106.198
110,46500228456,46500338462,0.0
111,46500238457,46500248458,2489014509.02
112,46500238457,46500318460,0.0
113,46500238457,46500338462,662228190.869
114,46500248458,27100015792,0.0
115,46500248458,27100035794,1016684851.23
116,46500308459,46500318460,864369551.367
117,46500308459,46500338462,441244533.727
118,46500308459,46500408463,701727097.012
119,46500318460,46500338462,2190321262.54
