,number,VTD,CD
0,1,0024,27
1,3,0340,28
2,4,4046,21
3,5,003B,23
4,131,0003,23
5,132,0004,23
6,133,0005,23
7,134,0006,23
8,135,0007,23
9,136,0008,23
10,137,0009,23
11,138,0010,23
12,139,0011,23
13,140,0012,23
14,141,0013,23
15,142,0014,23
16,143,0010A,23
17,144,0010B,23
18,145,0011,23
19,146,0012,23
20,147,0013,23
21,148,0020,23
22,149,0021,23
23,150,0022,23
24,151,0023,23
25,152,0024,23
26,153,0030,23
27,154,0031,23
28,155,0032,23
29,156,0033,23
30,157,0040,23
31,158,0041A,23
32,159,0041B,23
33,160,0042,23
34,161,0043,23
35,196,0002,23
36,197,001E,23
37,198,001W,23
38,199,003N,23
39,200,003S,23
40,201,004E,23
41,202,004M,23
42,203,004W,23
43,225,0122,28
44,226,0124,28
45,227,0125,28
46,228,0128,28
47,229,0129,28
48,230,0130,28
49,231,0132,28
50,232,0133,28
51,233,0134,28
52,234,0135,28
53,235,0136,28
54,236,0154,28
55,237,0164,28
56,238,0215,28
57,239,0218,28
58,240,0219,28
59,241,0220,28
60,242,0221,28
61,243,0226,28
62,244,0227,28
63,245,0231,28
64,246,0237,28
65,247,0239,28
66,248,0252A,28
67,249,0252B,28
68,250,0252C,28
69,251,0255,28
70,252,0266,28
71,315,0400,23
72,316,0100,23
73,317,0300,23
74,318,3030,21
75,319,2020,21
76,320,3060,21
77,321,4050,21
78,322,4070,21
79,323,2080,21
80,324,4100,21
81,325,1110,21
82,326,3040,21
83,327,1010,21
84,328,2120A,21
85,399,0001,23
86,400,0002,23
87,401,0003,23
88,402,0004A,23
89,403,0004B,23
90,404,0005,23
91,405,0006,23
92,406,0008,23
93,407,0009,23
94,408,0010,23
95,529,0110,35
96,530,0111,21
97,531,0112,35
98,532,0113,35
99,533,0120,35
100,534,0125,35
101,535,0127,35
102,536,0129,35
103,537,0221,35
104,538,0223,35
105,539,0224,21
106,540,0225,21
107,541,0226,21
108,542,0228,35
109,543,0229,35
110,544,0230,21
111,545,0232,21
112,546,0234,35
113,547,0236,21
114,549,0301,35
115,550,0315,21
116,551,0316,21
117,552,0317,35
118,553,0318,35
119,554,0330,21
120,555,0332,21
121,556,0333,21
122,557,0334,35
123,558,0335,21
