,B01001e1,B01002e1,B02001e1,B02008e1,B02009e1,B02010e1,B02011e1,B02012e1,B02013e1,B03002e1,B03003e1,B08301e1,B08303e1,B09002e1,B09017e1,B11001e1,B11016e1,B12001e1,B15002e1,B16004e1,B17017e1,B17021e1,VTD
0,1717.64248513,44.8590883039,1717.64248513,1487.62479752,147.469792753,0.0,14.6522462562,0.0,93.4397417828,1717.64248513,1717.64248513,520.104473821,520.070751383,523.814421709,135.134915822,494.465873081,494.465873081,1190.96307943,1006.70950812,1632.0215383,494.465873081,1717.64248513,35500076615
0,502.675108249,24.9618692732,502.675108249,450.205691065,31.2671328671,0.0,0.860366713681,0.0,23.430029491,502.675108249,502.675108249,273.226259777,259.32515214,81.1458115932,80.4625523982,177.499825421,177.499825421,399.837987119,377.044745382,487.43467703,177.499825421,502.675108249,23504005468
0,829.996025419,16.2393254282,829.996025419,748.931407172,4.43222407147,0.163379894665,14.6003962205,0.0,93.9163638942,829.996025419,829.996025419,457.279754225,443.211253055,181.166633519,110.556332842,305.357256403,305.357256403,684.209908778,582.101501451,784.156169529,305.357256403,829.996025419,293126669
0,10098.5374574,161.583150697,10098.5374574,8111.17609744,83.0897507963,180.26146676,121.243207795,0.0,1774.46053113,10098.5374574,10098.5374574,3600.23312475,3543.1582247,2897.35137338,941.336304094,2920.62270274,2920.62270274,7145.18551176,5406.89473583,9181.90266066,2920.62270274,10098.5374574,21500535079
0,563.555514917,20.4356781472,563.555514917,528.438163701,0.0,0.0,0.0,0.0,35.1173512154,563.555514917,563.555514917,237.174904703,221.887250204,108.955097566,87.8211673576,224.886931078,224.886931078,452.259260602,358.386424932,539.769936289,224.886931078,557.535397565,13700012975
0,3287.54642473,54.0075960578,3287.54642473,2877.14788906,160.551234743,30.406755606,24.7652568833,0.0,233.161907863,3287.54642473,3287.54642473,1527.52209582,1510.32998652,730.435382561,335.847432286,1152.78647217,1152.78647217,2596.6673143,2237.51162077,2991.74820579,1152.78647217,3287.54642473,325001C6300
0,1403.98075013,50.7848908853,1403.98075013,1338.65976244,30.5998919946,18.2428190713,0.0330214639516,11.1759737213,30.6383844947,1403.98075013,1403.98075013,727.685777501,727.606525988,345.341477991,193.488014934,615.129176785,615.129176785,1117.37799401,957.425101633,1330.77989849,615.129176785,1403.88168574,294176907
0,2788.64773875,69.8122368401,2788.64773875,2341.72715765,261.626384556,4.47184170472,6.53576864536,0.0,247.367738144,2788.64773875,2788.64773875,1423.14348147,1403.99130461,598.906385159,369.051207861,1144.49975134,1144.49975134,2229.85166599,1712.7881158,2586.26309206,1144.49975134,2763.53662764,35501216728
0,4640.44458173,170.104939247,4640.44458173,3251.07701875,264.511627907,119.290498752,254.0,0.0,904.809423446,4640.44458173,4640.44458173,2022.88394301,1911.35361641,539.931737346,626.919145992,1959.58708998,1959.58708998,3963.43828898,2846.82183069,4438.44458173,1959.58708998,4372.51434917,14100363063
0,8.26970954357,,8.26970954357,8.26970954357,0.0207468879668,0.0373443983402,0.0,0.0,0.0,8.26970954357,8.26970954357,3.3112033195,3.01659751037,1.77178423237,2.4356846473,3.10788381743,3.10788381743,6.7510373444,6.15352697095,8.09128630705,3.10788381743,8.26970954357,293097640
0,5504.28482435,66.3516002728,5504.28482435,3756.7225424,323.160990739,45.0088757396,71.1717274147,0.0,1472.61543301,5504.28482435,5504.28482435,1824.88449,1780.88449,2061.19049295,309.743932162,1844.82446933,1844.82446933,3485.44219001,2675.47557247,4773.69995601,1844.82446933,5406.28482435,14100623089
0,1740.21502514,43.4776989056,1740.21502514,1301.96687371,280.249038746,0.0,74.2827565809,0.0,196.393374741,1740.21502514,1740.21502514,1011.87104407,956.38006507,307.671990535,75.9065365277,844.799763384,844.799763384,1485.12333629,1014.20792665,1701.01094351,844.799763384,1740.21502514,45304118328
0,3318.96945038,83.6057324639,3318.96945038,3077.08218397,24.9537298014,17.36739908,18.7229660144,0.0,256.696146164,3318.96945038,3318.96945038,1156.68619755,1156.68619755,632.816073411,623.736518378,1039.34711064,1039.34711064,2527.81574273,2114.64832806,3064.3723257,1039.34711064,3259.36315786,14100723099
