,ShortName,LongName
0,B01001e1,SEX BY AGE - Universe:  Total population - Total: -- (Estimate)
1,B01002e1,MEDIAN AGE BY SEX - Universe:  Total population - Total: -- (Estimate)
2,B02001e1,RACE - Universe:  Total population - Total: -- (Estimate)
3,B02008e1,WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES - Universe:  White alone or in combination with one or more other races - Total: -- (Estimate)
4,B02009e1,BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES - Universe:  Black or African American alone or in combination with one or more other races - Total: -- (Estimate)
5,B02010e1,AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES - Universe:  People who are American Indian or Alaska Native alone or in combination with one or more other races - Total: -- (Estimate)
6,B02011e1,ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES - Universe:  Asian alone or in combination with one or more other races - Total: -- (Estimate)
7,B02012e1,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES - Universe:  Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races - Total: -- (Estimate)
8,B02013e1,SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES - Universe:  Some other race alone or in combination with one or more other races - Total: -- (Estimate)
9,B03002e1,HISPANIC OR LATINO ORIGIN BY RACE - Universe:  Total population - Total: -- (Estimate)
10,B03003e1,HISPANIC OR LATINO ORIGIN - Universe:  Total population - Total: -- (Estimate)
11,B08301e1,MEANS OF TRANSPORTATION TO WORK - Universe:  Workers 16 years and over - Total: -- (Estimate)
12,B08303e1,TRAVEL TIME TO WORK - Universe:  Workers 16 years and over who did not work at home - Total: -- (Estimate)
13,B09002e1,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE - Universe:  Own children under 18 years - Total: -- (Estimate)
14,B09017e1,RELATIONSHIP BY HOUSEHOLD TYPE (INCLUDING LIVING ALONE) FOR THE POPULATION 65 YEARS AND OVER - Universe:  Population 65 years and over - Total: -- (Estimate)
15,B11001e1,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) - Universe:  Households - Total: -- (Estimate)
16,B11016e1,HOUSEHOLD TYPE BY HOUSEHOLD SIZE - Universe:  Households - Total: -- (Estimate)
17,B12001e1,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER - Universe:  Population 15 years and over - Total: -- (Estimate)
18,B15002e1,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER - Universe:  Population 25 years and over - Total: -- (Estimate)
19,B16004e1,AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER - Universe:  Population 5 years and over - Total: -- (Estimate)
20,B17017e1,POVERTY STATUS IN THE PAST 12 MONTHS BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER - Universe:  Households - Total: -- (Estimate)
21,B17021e1,POVERTY STATUS OF INDIVIDUALS IN THE PAST 12 MONTHS BY LIVING ARRANGEMENT - Universe:  Population for whom poverty status is determined - Total: -- (Estimate)
22,B19001e1,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Total: -- (Estimate)
23,B19013e1,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Median household income in the past 12 months (in 2010 inflation-adjusted dollars) -- (Estimate)
24,B19051e1,EARNINGS IN THE PAST 12 MONTHS FOR HOUSEHOLDS - Universe:  Households - Total: -- (Estimate)
25,B19052e1,WAGE OR SALARY INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS - Universe:  Households - Total: -- (Estimate)
26,B19053e1,SELF-EMPLOYMENT INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS - Universe:  Households - Total: -- (Estimate)
27,B19054e1,"INTEREST, DIVIDENDS, OR NET RENTAL INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS - Universe:  Households - Total: -- (Estimate)"
28,B19055e1,SOCIAL SECURITY INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS - Universe:  Households - Total: -- (Estimate)
29,B19056e1,SUPPLEMENTAL SECURITY INCOME (SSI) IN THE PAST 12 MONTHS FOR HOUSEHOLDS - Universe:  Households - Total: -- (Estimate)
30,B19057e1,PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS - Universe:  Households - Total: -- (Estimate)
31,B19059e1,RETIREMENT INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS - Universe:  Households - Total: -- (Estimate)
32,B19060e1,OTHER TYPES OF INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS - Universe:  Households - Total: -- (Estimate)
33,B19101e1,FAMILY INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Families - Total: -- (Estimate)
34,B19113e1,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Families - Median family income in the past 12 months (in 2010 inflation-adjusted dollars) -- (Estimate)
35,B19201e1,NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Nonfamily households - Total: -- (Estimate)
36,B19202e1,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Nonfamily households - Median nonfamily household income in the past 12 months (in 2010 inflation-adjusted dollars) -- (Estimate)
37,B19301e1,PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Total population - Per capita income in the past 12 months (in 2010 inflation-adjusted dollars) -- (Estimate)
38,B21001e1,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER - Universe:  Civilian population 18 years and over - Total: -- (Estimate)
39,B21002e1,PERIOD OF MILITARY SERVICE FOR CIVILIAN VETERANS 18 YEARS AND OVER - Universe:  Civilian veterans 18 years and over - Total: -- (Estimate)
40,B23025e1,EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER - Universe:  Population 16 years and over - Total: -- (Estimate)
41,B25001e1,HOUSING UNITS - Universe:  Housing units - Total: -- (Estimate)
42,B25002e1,OCCUPANCY STATUS - Universe:  Housing units - Total: -- (Estimate)
43,B25003e1,TENURE - Universe:  Occupied housing units - Total: -- (Estimate)
44,B25004e1,VACANCY STATUS - Universe:  Vacant housing units - Total: -- (Estimate)
45,B25006e1,RACE OF HOUSEHOLDER - Universe:  Occupied housing units - Total: -- (Estimate)
46,B25010e1,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE - Universe:  Occupied housing units - Total: -- (Estimate)
47,B25014e1,TENURE BY OCCUPANTS PER ROOM - Universe:  Occupied housing units - Total: -- (Estimate)
48,B25017e1,ROOMS - Universe:  Housing units - Total: -- (Estimate)
49,B25018e1,MEDIAN NUMBER OF ROOMS - Universe:  Housing units - Median number of rooms -- (Estimate)
50,B25024e1,UNITS IN STRUCTURE - Universe:  Housing units - Total: -- (Estimate)
51,B25034e1,YEAR STRUCTURE BUILT - Universe:  Housing units - Total: -- (Estimate)
