,low,high
0,46900248511,46900118498
1,46900248511,46900038490
2,46900248511,46900238510
3,46900248511,46900218508
4,46900248511,46900338520
5,46900248511,46900098496
6,46900248511,46900208507
7,47903408622,47902398611
8,47903408622,47903098617
9,47903408622,47903418623
10,47903408622,47903428624
11,47903408622,47903438625
12,47903408622,47903448626
13,294046777,294117848
14,294046777,294120851
15,294046777,294139870
16,294046777,294210940
17,294046777,293048592
18,294046777,293049593
19,294046777,293050594
20,294046777,293118661
21,294046777,294038769
22,294046777,294091822
23,3250036306,16300063489
24,3250036306,16300083490
25,3250036306,3250016301
26,3250036306,3250036305
27,3250036306,3250036307
28,3250036306,3250046309
29,3250036306,3250046310
30,46300038439,46300048440
31,46300038439,46300028438
32,46300038439,38500026980
33,46300038439,190410152
34,46300038439,3250016298
35,46300048440,46300078443
36,46300048440,46300118447
37,46300048440,46300128448
38,46300048440,46300148450
39,46300048440,46300028438
40,46300048440,38500026980
41,46300048440,38500066983
42,46300058441,46300118447
43,46300058441,46300128448
44,46300058441,46300018437
45,46300058441,46300028438
46,46300058441,50700018936
47,46300068442,46300078443
48,46300068442,46300148450
49,46300068442,38500036981
50,46300068442,38500066983
51,46300068442,13700022976
52,46300068442,27100025793
53,46300078443,46300088444
54,46300078443,46300128448
55,46300078443,46300138449
56,46300078443,46300148450
57,46300078443,46300018437
58,46300078443,27100025793
59,46300088444,46300098445
60,46300088444,46300138449
61,46300088444,46300018437
62,46300098445,46300108446
63,46300098445,46300138449
64,46300098445,46300018437
65,46300108446,46300138449
66,46300108446,46300018437
67,46300118447,46300128448
68,46300118447,46300028438
69,46300128448,46300018437
70,46300138449,46300018437
71,46300138449,50700018936
72,46300138449,50700048939
73,46300138449,27100025793
74,46300138449,27100045795
75,46300138449,3230046292
76,46300148450,38500066983
77,46500108466,46500138453
78,46500108466,46500408463
79,46500108466,46500418468
80,46500108467,46500118451
81,46500108467,46500138453
82,46500108467,46500228456
83,46500108467,46500308459
84,46500108467,46500408463
85,46500118451,46500138453
86,46500118451,46500218455
87,46500118451,46500228456
88,46500128452,46500138453
89,46500128452,46500228456
90,46500128452,46500248458
91,46500138453,46500218455
92,46500138453,46500228456
93,46500138453,46500248458
94,46500138453,46500408463
95,46500138453,46500418468
96,46500138453,27100015792
97,46500138453,27100035794
98,46500208454,46500238457
99,46500208454,46500248458
100,46500208454,46500328461
