,CNTY,COLOR,VTD,CNTYVTD,VTDKEY,Shape_area,Shape_len,e_ang,e_oth,e_hsp,population,e_vap,e_blak,e_bh,e_angvap,e_hspvap,e_bhvap,e_blakvap,e_othvap,PERIM,ALAND,AWATER,GEOID10,NAME10
0,469,2,46900248511,4690024,8511,54262957.3146,50831.1070005,1357,8,276,1679,1260,38,314,1044,179,209,30,7,122642.613301,0.00503219995946,0,4690024,8511
1,479,1,47903408622,4790340,8622,1949293.02953,5991.52806242,336,87,2839,3274,2460,17,2851,275,2111,2118,10,67,13151.0415477,0.000178187178562,0,4790340,8622
2,29,5,294046777,294046,777,2356032.10956,6851.9378226,2038,225,1012,3644,3083,416,1381,1839,778,1057,301,187,13983.4358766,0.0002199633056,0,294046,777
3,325,2,325003B6306,325003B,6306,246842832.896,109297.722527,460,9,357,831,632,6,362,354,271,272,2,6,252607.962264,0.0229687157269,0,325003B,6306
4,463,2,46300038439,4630003,8439,327725482.405,95520.5734546,558,13,74,647,534,2,76,472,51,52,1,10,238057.559106,0.0306132891596,0,4630003,8439
5,463,4,46300048440,4630004,8440,380953297.409,131787.262033,318,3,150,471,392,0,150,282,107,107,0,3,333068.267233,0.0355711147768,0,4630004,8440
6,463,6,46300058441,4630005,8441,237613925.355,99216.5422351,1155,48,1407,2637,1978,29,1434,946,975,998,25,34,266152.300465,0.0221051934714,0,4630005,8441
7,463,2,46300068442,4630006,8442,388001644.7,98418.365605,267,5,87,362,291,6,90,229,55,57,2,5,233653.6312,0.0362403462743,0,4630006,8442
8,463,5,46300078443,4630007,8443,760575490.964,135652.177715,519,13,365,899,714,3,367,447,258,258,0,9,323002.938528,0.0709014533159,0,4630007,8443
9,463,1,46300088444,4630008,8444,3445997.14501,10422.3646038,688,20,2049,2765,1911,9,2057,567,1327,1331,4,13,22163.2077698,0.000320778411712,0,4630008,8444
10,463,7,46300098445,4630009,8445,2086528.51832,8626.42229898,113,10,2305,2440,1685,24,2317,84,1589,1594,11,7,21692.8228094,0.000194180719546,0,4630009,8445
11,463,6,46300108446,4630010,8446,810678.080331,4403.67705516,55,11,970,1040,723,14,974,47,666,667,5,9,12204.453702,7.54431924679e-05,0,4630010,8446
12,463,5,46300118447,4630011,8447,244069305.812,118776.339954,388,3,489,881,650,2,490,325,321,322,2,3,266106.166504,0.0227311535389,0,4630011,8447
13,463,1,46300128448,4630012,8448,147167956.728,79101.1565245,1245,51,2019,3329,2402,21,2033,1028,1327,1337,16,37,173560.446733,0.0137136107591,0,4630012,8448
14,463,4,46300138449,4630013,8449,646472174.524,129550.470403,544,33,4601,5196,3455,40,4619,441,2981,2994,24,20,332003.499496,0.0601435042931,0,4630013,8449
15,463,6,46300148450,4630014,8450,184006776.636,88771.6376084,100,7,16,123,114,0,16,94,13,13,0,7,200349.029093,0.0171838304514,0,4630014,8450
16,465,3,4650010A8466,4650010A,8466,124458.623212,1803.5607707,10,0,61,71,47,0,61,10,37,37,0,0,4848.8560137,1.15991197923e-05,0,4650010A,8466
17,465,5,4650010B8467,4650010B,8467,3601203.20619,15952.2796734,467,29,3672,4189,2911,42,3693,383,2496,2511,29,17,33185.0104287,0.000335705836567,0,4650010B,8467
18,465,4,46500118451,4650011,8451,2344192.40968,8172.52568089,159,21,3702,3904,2755,39,3724,134,2583,2604,23,17,23067.02915,0.000218522354061,0,4650011,8451
19,465,2,46500128452,4650012,8452,1772064.37553,10667.3167501,120,10,828,976,624,30,846,107,492,507,22,10,31948.6968783,0.000165200750511,0,4650012,8452
20,465,1,46500138453,4650013,8453,196873897.28,73928.0187688,1306,96,957,2496,1819,164,1094,1068,579,683,111,68,146472.228924,0.018344057289,0,4650013,8453
21,465,3,46500208454,4650020,8454,2295274915.16,271535.733331,124,0,59,183,165,0,59,118,47,47,0,0,523008.470148,0.215125469315,0,4650020,8454
22,465,5,46500218455,4650021,8455,1783999.02491,5868.32473154,81,3,3537,3637,2361,44,3553,60,2284,2298,30,3,16869.1810906,0.000166308569365,0,4650021,8455
23,465,7,46500228456,4650022,8456,13353314.821,28256.93011,503,51,4673,5283,4078,104,4729,443,3550,3597,84,38,62129.4941014,0.00124510259528,0,4650022,8456
24,465,5,46500238457,4650023,8457,49969037.4404,33848.2543947,118,1,179,298,209,0,179,93,115,115,0,1,60526.8806212,0.00466258088054,0,4650023,8457
25,465,6,46500248458,4650024,8458,209169693.331,66385.1437837,239,9,2821,3089,1953,24,2841,196,1734,1749,17,8,165079.668566,0.0195143605701,0,4650024,8458
26,465,4,46500308459,4650030,8459,3297221.59616,9625.54874393,475,36,1978,2588,1759,111,2077,397,1263,1335,74,27,28655.5387797,0.000307434452668,0,4650030,8459
27,465,2,46500318460,4650031,8460,5597524.99319,15904.7586311,2384,142,3698,6363,4546,189,3837,1896,2445,2549,126,101,31950.2649926,0.000522027377769,0,4650031,8460
28,465,5,46500328461,4650032,8461,3450818966.07,389968.918837,263,10,154,428,325,1,155,215,101,101,0,9,1027603.75129,0.323859343982,0,4650032,8461
29,465,6,46500338462,4650033,8462,133924136.204,56529.6230174,1184,48,1869,3118,2265,31,1886,1019,1200,1211,17,35,127982.408569,0.0124939537235,0,4650033,8462
30,465,2,46500408463,4650040,8463,8816671.23013,23996.7485824,729,39,7885,8714,6162,100,7946,594,5493,5536,62,32,53116.363887,0.000821824829531,0,4650040,8463
31,465,5,4650041A8468,4650041A,8468,1685314.30082,8700.12581059,65,3,310,381,260,7,313,53,201,204,6,3,20933.166599,0.000157059150873,0,4650041A,8468
32,465,7,4650041B8469,4650041B,8469,46465297.0542,54086.5735277,194,7,2772,2988,1917,38,2787,155,1748,1755,17,7,70097.6090411,0.00433344604893,0,4650041B,8469
33,465,6,46500428464,4650042,8464,1716177395.78,346501.178197,57,0,14,71,65,0,14,53,12,12,0,0,472719.169212,0.160982848119,0,4650042,8464
34,465,4,46500438465,4650043,8465,200292066.317,75881.6296455,70,2,30,102,94,0,30,68,24,24,0,2,97532.4300153,0.0187110694779,0,4650043,8465
