,low,high,length
0,37149WO06,37149SA04,13360.3725802
1,37149WO06,37149TR123,0.0
2,37149WO06,37149CL07,60442.6916483
3,37149WO06,37149GC09,14629.2537659
4,37149WO06,37149CG05,80702.6501452
5,37149WO06,3716134,151.245837361
6,37149WO06,3716118,20046.1553231
7,37149SA04,37149TR123,26718.5895681
8,37149SA04,37149CL07,0.0
9,37149SA04,37149CG05,12570.6151731
10,37149SA04,37089RR,11502.9649789
11,37149SA04,37089SB,17915.8748753
12,37149TR123,37149CL07,7030.73799381
13,37149TR123,37149CL08,10007.8852919
14,37149CL07,37149GC09,4477.27898377
15,37149CL07,37149CL08,55033.5961383
16,37149GC09,37149CL08,24682.7452143
17,37149GC09,3716134,30208.0759058
18,37149GC09,3716109A,7510.48698667
19,37149CG05,37089SB,493.55318611
20,37149CG05,37089ED,18475.8706493
21,37149CG05,3716106A,54665.2085892
22,37149CG05,3716118,10737.8977596
23,3715916,3715909,3915.70187445
24,3715916,3715917,2561.43948929
25,3715916,3715902,12719.3483056
26,3715916,3702504-05,10016.0291474
27,3715916,3702504-04,0.0
28,3715920,3715933,2727.52251867
29,3715920,3715917,3009.77753728
30,3715920,3715902,12655.7749911
31,3715920,3715919,8335.19596654
32,3715920,3715906,7313.76556075
33,3715944,3715909,11572.799708
34,3715944,37097CC3,4195.026715
35,3715944,3715904,19678.5466489
36,3715944,3702503-00,17779.0624174
37,3715944,3702504-09,5622.04853162
38,3715909,3715902,1279.06913511
39,3715909,3715904,17387.407798
40,3715909,3715919,1810.46532678
41,3715909,3702504-05,4274.49360481
42,3715909,3702504-09,5602.38599264
43,3715945,3715911,14983.9455966
44,3715945,3715939,16114.430638
45,3715945,3715928,10826.4625259
46,3715945,3715940,7739.43687069
47,3715945,3705706,11044.6638723
48,3715903,3715913,14731.3971489
49,3715903,3715910,6606.39584061
50,3715903,3715933,6897.91969852
51,3715903,3715930,17748.6418026
52,3715903,3715905,6011.94652153
53,3715913,3715946,0.0
54,3715913,3715910,14649.7556398
55,3715913,3715933,9451.71307851
56,3715913,3715901,4675.79957964
57,3715913,3702505-00,17341.251212
58,3715913,3702506-00,12888.8748174
59,3715914,3715946,11951.4448573
60,3715914,3715910,73.5583074239
61,3715914,3715915,17490.7195235
62,3715914,3715936,4032.30240182
63,3715914,3715926,11369.4716568
64,3715914,3715938,1108.64669822
65,3715946,3715925,9495.64640314
66,3715946,3715910,23602.9905182
67,3715946,3715926,1373.39816248
68,3715946,3715901,5022.64451549
69,3715907,3715932,9826.5333105
70,3715907,3715927,50401.8848073
71,3715907,3715924,23307.3966935
72,3715907,3715929,20263.8372681
73,3715907,37097CH-B,2887.00514178
74,3715907,37097CH-A,2536.44977013
75,3715941,3715911,14182.2038391
76,3715941,3715921,2101.3505593
77,3715941,3715942,7761.2541732
78,3715941,3715939,5177.59377129
79,3715941,3715912,11027.9551656
80,37097CS,3715927,6590.4468226
81,37097CS,3705902,208.774235323
82,37097CS,37097BE,9874.85154058
83,37097CS,37097OL,7741.73422929
84,37097CS,37097TB,47690.9455369
85,37097CS,37097ST2,3882.42314675
86,37097CS,37097CH-A,37972.6037377
87,37097BA,37097CC3,10995.653975
88,37097BA,3715924,8330.05677916
89,37097BA,37097FT,18301.5520917
90,37097BA,37097CH-B,34486.0500917
91,37097BA,37097ST6,9485.44330848
92,37097BA,37097CC2,26377.5755345
93,37097BA,37097DV1-A,4033.0278959
94,37097CC3,3715924,793.927046367
95,37097CC3,3715904,6931.20586025
96,37097CC3,37097CC1,22637.5795101
97,37097CC3,37097CC2,14101.8227102
98,37097CC3,3702503-00,11457.8690457
99,37015C2,37015M1,30317.9632293
100,37015C2,37015C1,42657.3458486
101,37015C2,37015W2,23349.4793235
102,37015C2,37015WH,7559.35188374
103,37015C2,37091HV,7471.09618799
104,37015C2,37091A2,31108.7415127
105,37015M1,37015W2,25102.7357588
106,37015M1,37015M2,34605.9875181
107,37015M1,37015SN,37878.392094
108,37015M1,37091A2,29151.8396252
109,37015M1,37091ML,9082.52553638
110,37015C1,37015WH,47596.1939358
111,37015C1,370413,16139.7822072
112,37015C1,370415,464.400453213
113,37015C1,37091HV,54790.2286123
114,37015MH,37015W1,54768.0747965
115,37015MH,37015WH,73538.2297136
116,37015MH,370411,718.105421635
117,37015MH,370416,6073.34948179
118,37015MH,370412,19968.8195755
119,37015MH,37117J,19853.2020522
120,37015MH,37187P2,7952.41223384
121,37015MH,37187LM,39376.6496963
122,37015MH,37187P1,11399.7136664
123,37015W2,37015W1,61480.3574269
124,37015W2,37015SN,15336.0343085
125,37015W2,37015WH,2434.99390871
126,37015W1,37015SN,22335.5800361
127,37015W1,37015WH,11413.0629523
128,37015W1,37015IW,62454.599227
129,37015W1,37117W,58625.8249588
130,37015W1,37117J,42576.3528414
131,37015W1,37117HM,19624.9595791
132,37015W1,37117W2,6355.85219401
133,37015W1,37117W1,11508.8783602
134,37015M2,37015SN,17027.7330491
135,37015M2,37015RX,29708.5661229
136,37015M2,37091ML,18523.5041999
137,37015SN,37015WD,48800.2760326
138,37015SN,37015RX,15694.8717384
139,37015SN,37015IW,31098.4889794
140,3718903,3718904,26609.271237
141,3718903,3718913,23226.982421
142,3718903,3718915,0.0
143,3718903,3718919,28393.0108745
144,3718903,37027PR07,42485.8616461
145,3718903,37027PR23,3156.63726509
146,3718904,3718913,0.0
147,3718904,3718909,29205.5985797
148,3718904,3718915,19800.4499536
149,3718904,37193109,8838.99429685
150,3718904,37027PR27,22433.022604
151,3718904,37027PR23,17526.7944811
152,3718913,3718912,8494.36923715
153,3718913,3718915,6470.41772788
154,3718913,3718919,3242.94706461
155,3718913,3718907,19769.3473162
156,3718913,3718906,259.544424776
157,3718917,3718920,7167.39417991
158,3718917,3718919,31245.9655014
159,3718917,3718910,16730.0613271
160,3718917,3701102,12730.2308236
161,3718909,3718915,7350.94362999
162,3718909,3718918,39877.9106821
163,3718909,37193113,1952.17099655
164,3718909,37193109,10847.8369878
165,3718912,3718905,3485.10434981
166,3718912,3718907,1936.01989262
167,3718912,3718906,6579.41193207
168,3718905,3718915,477.497332714
169,3718905,3718914,2381.37006944
170,3718905,3718907,8349.35809934
171,3718905,3718906,6222.99366333
172,3718915,3718914,26484.5854217
173,3718915,3718918,4081.41586388
174,3718915,3718906,1933.12758007
175,3718920,3718910,18507.5979632
176,3718920,3701103,180.116852143
177,3718920,3701102,23418.6236628
178,3718919,3718907,24021.1146662
179,3718919,3718910,15329.559964
180,3718919,3701102,3524.50936662
181,3718919,3701111,1355.33267994
182,3718919,37027PR07,11530.6372381
183,3718914,3718907,21060.1157059
184,3718914,3718918,6673.62141603
185,3718914,3718911,49516.6607001
186,3718914,3718901,757.435551324
187,3718914,3718908,126.051844474
188,3718907,3718910,3779.26387778
189,3718907,3718908,22144.4853268
