GEOID10,g2012_USH_dv,g2012_USH_rv,g2012_USH_tv,STATEFP10,COUNTYFP10,VTDST10,VTDI10,NAME10,NAMELSAD10,LSAD10,MTFCC10,FUNCSTAT10,ALAND,AWATER,INTPTLAT10,INTPTLON10,VTD,ID,population,aframcon,hispcon,mincon,percentDem,percentRep,percentOther,DemPercentWhite,DemPercentBlack,DemPercentAsian,DemPercentOther,RepPercentWhite,RepPercentBlack,RepPercentAsian,RepPercentOther,repPop,demPop,hispPop,aframPop,numAdjacent,totalBorder
37149WO06,508,634,1142,37,149,WO06,P,WO06,Voting District WO06,V1,G5240,S,112373051.0,565151.0,35.31326,-82.1572357,37149WO06WO06,0,2504,0.0459265175719,0.0894568690096,0.135383386582,0.38036809816,0.322085889571,0.29754601227,0.837096774194,0.133870967742,0.00322580645161,0.0258064516129,0.969523809524,0.00952380952381,0.00380952380952,0.0171428571429,806.503067485,952.441717791,224.0,115.0,7,189332.3693
37149SA04,385,615,1000,37,149,SA04,P,SA04,Voting District SA04,V1,G5240,S,85545403.0,38532.0,35.2610918,-82.2979896,37149SA04SA04,1,1972,0.0106490872211,0.0233265720081,0.0339756592292,0.293948126801,0.365273775216,0.340778097983,0.973039215686,0.00980392156863,0.0,0.0171568627451,0.994082840237,0.00197238658777,0.0,0.00394477317554,720.319884726,579.665706052,46.0,21.0,6,82068.4171756
37149TR123,1195,888,2083,37,149,TR123,P,TR123,Voting District TR123,V1,G5240,S,45106366.0,20740.0,35.2213121,-82.2674082,37149TR123TR123,2,3747,0.0952762209768,0.0408326661329,0.13610888711,0.38930013459,0.293068640646,0.317631224764,0.773552290406,0.214347450303,0.000864304235091,0.0112359550562,0.971297359357,0.0149253731343,0.0,0.0137772675086,1098.1281965,1458.70760431,153.0,357.0,4,43757.2128538
37149CL07,697,911,1608,37,149,CL07,P,CL07,Voting District CL07,V1,G5240,S,60133786.0,33643.0,35.2651188,-82.1599521,37149CL07CL07,3,3294,0.0224650880389,0.0758955676988,0.0983606557377,0.348619768477,0.318343722173,0.33303650935,0.951468710089,0.0268199233716,0.0,0.021711366539,0.979020979021,0.0,0.0041958041958,0.0167832167832,1048.62422084,1148.35351736,250.0,74.0000000001,5,126984.304764
37149GC09,718,1025,1743,37,149,GC09,P,GC09,Voting District GC09,V1,G5240,S,133696997.0,22750.0,35.2364973,-82.039908,37149GC09GC09,4,3607,0.0967563071805,0.054616024397,0.151372331577,0.352291325696,0.367430441899,0.280278232406,0.753774680604,0.225319396051,0.0,0.0209059233449,0.976614699332,0.00668151447661,0.00334075723831,0.0133630289532,1325.32160393,1270.71481178,197.0,349.0,5,81507.8408564
37149CG05,239,606,845,37,149,CG05,P,CG05,Voting District CG05,V1,G5240,S,126226590.0,1018948.0,35.3558851,-82.2085662,37149CG05CG05,5,2206,0.0126926563917,0.0394378966455,0.0521305530372,0.236966824645,0.452606635071,0.310426540284,0.963333333333,0.0233333333333,0.00333333333333,0.01,0.982547993019,0.0,0.00174520069808,0.0157068062827,998.450236967,522.748815166,87.0,28.0000000001,6,177645.795503
37149CL08,638,1026,1664,37,149,CL08,P,CL08,Voting District CL08,V1,G5240,S,52757102.0,264270.0,35.2158261,-82.1578172,37149CL08CL08,6,3180,0.0248427672956,0.0518867924528,0.0767295597484,0.262651610205,0.425763278963,0.311585110832,0.93949044586,0.0493630573248,0.0,0.0111464968153,0.984282907662,0.0049115913556,0.0,0.0108055009823,1353.9272271,835.232120452,165.0,79.0,3,89724.2266445
3715916,456,669,1127,37,159,16,P,16,Voting District 16,V1,G5240,S,5874974.0,235138.0,35.5182137,-80.6291611,371591616,7,3788,0.159978880676,0.227032734952,0.387011615628,0.357302118172,0.399108138239,0.24358974359,0.641185647426,0.315132605304,0.00312012480499,0.0405616224649,0.974860335196,0.00837988826816,0.00698324022346,0.00977653631285,1511.82162765,1353.46042363,859.999999998,606.000000001,5,29212.5188167
3715920,228,669,897,37,159,20,P,20,Voting District 20,V1,G5240,S,9324724.0,0.0,35.5371144,-80.5915275,371592020,8,2144,0.0601679104478,0.102145522388,0.162313432836,0.286271450858,0.47503900156,0.238689547582,0.776566757493,0.179836512262,0.00272479564033,0.0408719346049,0.977011494253,0.00492610837438,0.0,0.0180623973727,1018.48361934,613.76599064,219.0,129.0,5,34042.0365743
3715944,356,1190,1546,37,159,44,P,44,Voting District 44,V1,G5240,S,28498419.0,0.0,35.5281531,-80.7023276,371594444,9,4055,0.0273736128237,0.0377311960543,0.065104808878,0.254000820681,0.474764054165,0.271235125154,0.932148626817,0.0516962843296,0.0,0.016155088853,0.984442523768,0.0,0.000864304235091,0.0146931719965,1925.16823964,1029.97332786,153.0,111.0,5,58847.4840209
